,ydcA
Cr_1,0.006310172107514532
Cr_2,0.005213528542993656
Cr_3,0.0016305762730521034
Cr_4,-0.0009659937921791508
Cr_5,-0.0056324887085492156
Cr_6,-0.012685471052703649
Fe_1,-0.007844300703020713
Fe_2,-0.02313203757620365
Fe_3,-0.04529747560534539
Fe_4,-0.0683978469516867
Fe_5,-0.0924837627637547
Fe_6,-0.11375384969265695
Cd_1,0.004813074042860351
Cd_2,0.009818294904898132
Cd_3,0.010410984618001714
Cd_4,0.007483993959817124
Cd_5,0.0022389959339049856
Cd_6,0.0039896416848435035
Zn_1,0.0011875389975705016
Zn_2,-0.0074379675282043685
Zn_3,-0.016399254410387844
Zn_4,-0.019340185797140086
Zn_5,-0.020746377004850318
Zn_6,-0.016655632422406547
Cu_1,0.0152564241168298
Cu_2,0.02811468555401791
Cu_3,0.033389696891881794
Cu_4,0.04305822704721871
Cu_5,0.03760809673326795
Cu_6,0.03266229379759842
Pb_1,-0.009230726695462077
Pb_2,-0.03921762959876104
Pb_3,-0.03701822217360006
Pb_4,-0.04722814122316971
Pb_5,-0.0625393361239063
Pb_6,-0.07812668321139157
