,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,Chrom__sac_log,2.499761188274301,0.9792320748258309,2.0,0.0,3.1921828287390186,1.0,1.807339547809583,,
1,Chrom__sac_sta,2.335228630401862,0.24563857518464297,2.0,2.0,2.508921332635925,3.0,2.1615359281677997,,
2,Chrom__sac_MW001,3.6637359812630166e-15,1.4790793191581901,2.0,4.0,1.0458670164895418,5.0,-1.0458670164895345,,
3,Chrom__sac_fadR,0.2547275431238848,1.4127293679590265,2.0,6.0,1.2536780591890977,7.0,-0.7442229729413281,,
4,FadR__wt_p,1.6653345369377348e-15,2.7497371554451235,2.0,8.0,-1.944357789095853,9.0,1.9443577890958563,,
5,FadR__ko_p,0.27394701988981407,1.821127386317913,2.0,10.0,-1.0137845043801157,11.0,1.5616785441597438,,
6,GDGT__75_2.4_log,-1.4802973661668753e-16,2.160172882158626,3.0,12.0,0.09849700941515173,27.0,-2.207736548493251,50.0,2.1092395390780987
7,GDGT__80_3.5_stat,0.20616556276424816,0.4770032223273262,3.0,13.0,0.33201529017562664,20.0,0.6076257318637883,42.0,-0.32114433374667034
8,GDGT__80_2.4_log,2.857011497169277,1.723312045422796,3.0,14.0,2.807896912210116,37.0,4.604355840928706,41.0,1.158781738369008
9,GDGT__75_3.5_stat,-0.04717971442911987,1.1233055441968156,3.0,15.0,0.4964481782072217,24.0,0.7008920590194545,28.0,-1.3388793805140358
10,GDGT__80_1.6_stat,2.9217595657146376,1.6969147791654688,3.0,16.0,2.520621615144597,17.0,1.4613541203027154,33.0,4.7833029616966
11,GDGT__75_2.4_stat,-0.994541382170385,0.47171894314721946,3.0,18.0,-1.4963070116152717,26.0,-0.9272129222172096,31.0,-0.5601042126786739
12,GDGT__80_2.4_stat,0.2545233272419778,1.890171739739144,3.0,19.0,1.8241065954947453,29.0,0.7831453669915067,30.0,-1.8436819807603189
13,GDGT__80_1.6_log,-1.1071297550966892,0.8277474306377548,2.0,21.0,-1.6924355764103869,39.0,-0.5218239337829913,,
14,GDGT__65_3.5_stat,3.8825203147140286,2.1145232408547954,3.0,22.0,5.575962019775091,23.0,4.559085361082643,34.0,1.5125135632843518
15,GDGT__75_1.6_stat,0.3552628027923734,0.699989692816813,3.0,25.0,0.801601202319019,32.0,-0.4514919475809441,38.0,0.7156791536390452
16,GDGT__75_1.6_log,-1.2451021135363334,0.8961243315151934,2.0,35.0,-0.6114465219356783,36.0,-1.8787577051369884,,
17,GDGT__65_2.4_stat,1.6701408446821604,4.365990379828065,3.0,40.0,6.710223954467166,46.0,-0.9501188802003064,49.0,-0.7496825402203788
18,GDGT__65_2.4_log,2.850768182433972,1.046892142631916,3.0,43.0,4.059528411361366,44.0,2.233850523274856,47.0,2.2589256126656934
19,GDGT__80_3.5_log,0.4133448628928847,1.7881251103991942,3.0,45.0,-1.6127157617267251,51.0,1.7709040846785529,52.0,1.0818462657268264
20,GDGT__65_1.6_log,3.8314142172675254,0.4419432284151594,3.0,48.0,3.342682105378105,53.0,3.9486208879978753,54.0,4.202939658426596
21,NutLim__t0,-1.3322676295501878e-15,1.3882518071131609,2.0,55.0,-0.9816422668041964,56.0,0.9816422668041938,,
22,NutLim__t05,4.025641358023543,0.8691286189807983,3.0,57.0,4.230536269168047,58.0,4.774015924305322,59.0,3.0723718805972573
23,NutLim__t1,-0.993967824568266,0.12360086722026209,3.0,60.0,-0.9046281705576384,61.0,-1.1350274541646572,62.0,-0.9422478489825024
24,NutLim__t15,-2.022369463559491,2.6230578644048808,3.0,63.0,-0.8397624128100597,64.0,-5.028525568835223,65.0,-0.19882040903319104
25,NutLim__t2,-2.4481082269776935,3.37656182041322,3.0,66.0,-1.5928550161845951,67.0,-6.170059677641222,68.0,0.41859001289273706
26,NutLim__t4,-1.276991503146987,0.33972376949434424,2.0,69.0,-1.0367705220072805,70.0,-1.5172124842866932,,
27,UV_irr__wt0,-1.0177044392397268e-15,0.6616720775964214,3.0,71.0,-0.7235056846328175,72.0,0.5743900486062857,73.0,0.14911563602652872
28,UV_irr__wt1,1.696617922603178,0.9617847634394631,3.0,74.0,2.0966311164089886,75.0,2.3938415162145352,76.0,0.5993811351860099
29,UV_irr__wt2,1.4994211760677647,0.570441842622315,3.0,77.0,1.7761233397079506,78.0,1.878738743377568,79.0,0.8434014451177752
30,UV_irr__mut0,0.8492549596010778,0.5694309308508468,3.0,80.0,1.233774744437273,81.0,1.1189041343291082,82.0,0.19508600003685175
31,UV_irr__mut1,2.7545158763821402,1.2424832054740393,3.0,83.0,3.624753655601343,84.0,1.3315816337840534,85.0,3.307212339761024
32,UV_irr__mut2,2.5114944472325758,0.5014943793009167,3.0,86.0,2.3418709244914835,87.0,2.116809067975476,88.0,3.0758033492307675
33,YtrA__overexpr,-0.43568209900308474,1.209904615704273,3.0,89.0,-1.7416564785976707,90.0,-0.21245340997617412,91.0,0.6470635915645907
34,YtrA__wt,-2.0354088784794535e-15,0.7946482856954329,3.0,92.0,0.3711407697301862,93.0,-0.9123143526706452,94.0,0.5411735829404528
