,-0.18546411594293183,-0.16594157742262322,-0.1464190389023146,-0.126896500382006,-0.1073739618616974,-0.08785142334138879,-0.06832888482108018,-0.048806346300771575,-0.029283807780462967,-0.00976126926015436,0.009761269260154248,0.029283807780462856,0.048806346300771464,0.06832888482108007,0.08785142334138868,0.10737396186169729,0.1268965003820059,0.1464190389023145,0.1659415774226231,0.18546411594293172
thresh,-0.07809015408123446,0.07809015408123446,1,,,,,,,,,,,,,,,,,
unreg,4,1,0,0,1,4,6,32,175,884,956,195,29,5,2,1,0,1,0,0
unreg_genes,['SACI_RS11720' 'Saci_1998' 'Saci_1999' 'Saci_2001'],['btuD_10'],[],[],['Saci_1368'],['Saci_2054' 'Saci_1753' 'cas4' 'sgaA'],[],[],[],[],[],[],[],[],['Saci_1048' 'Saci_2138'],['Saci_2166'],[],['SACI_RS08980'],[],[]
