,cvrA
Cr_1,-0.003784429459388933
Cr_2,-0.0008363087952633697
Cr_3,-0.0006915730375823975
Cr_4,0.0002211460120324925
Cr_5,0.006512816215471774
Cr_6,0.0006245125843693969
Fe_1,-0.004787345280923048
Fe_2,-0.019460967001421463
Fe_3,-0.03814686603185495
Fe_4,-0.056086615624930426
Fe_5,-0.0612563070058441
Fe_6,-0.06755336052907485
Cd_1,-0.0008667750250561677
Cd_2,0.0033281785404831467
Cd_3,0.0032712579035475003
Cd_4,0.005384821593331186
Cd_5,0.003564491151026519
Cd_6,0.008291624085705003
Zn_1,0.0008237435679189152
Zn_2,0.005650626516318676
Zn_3,0.025148075055298875
Zn_4,0.030118480318036
Zn_5,0.03281629977999409
Zn_6,0.029231132350308126
Cu_1,0.00658808676402855
Cu_2,0.013770500393053126
Cu_3,0.02358300940575001
Cu_4,0.027976854139928026
Cu_5,0.030944508445802637
Cu_6,0.035221032356366345
Pb_1,-0.0014587075579133542
Pb_2,-0.004179731025289366
Pb_3,-0.0051983278602661725
Pb_4,-0.007427067499279148
Pb_5,-0.009539677848753515
Pb_6,-0.010261485753910358
