,yncA
Cr_1,-0.003230617012628575
Cr_2,-0.00557654502745527
Cr_3,-0.00752653843566003
Cr_4,-0.012792634815935358
Cr_5,-0.0202252233370068
Cr_6,-0.030436361604881917
Fe_1,0.0018079497539368059
Fe_2,-0.010378107621238305
Fe_3,-0.02462300392172004
Fe_4,-0.03875763954393818
Fe_5,-0.044453481799444916
Fe_6,-0.04761095943372127
Cd_1,-0.0007743910080080077
Cd_2,-4.009514991910884e-05
Cd_3,0.0009415981109248496
Cd_4,0.002443037648054633
Cd_5,-0.0012424424346486696
Cd_6,0.001703169507272538
Zn_1,0.003443102878433761
Zn_2,0.00943291387445619
Zn_3,0.025513972137773486
Zn_4,0.04363211313181448
Zn_5,0.06555886319767143
Zn_6,0.08660837583023201
Cu_1,0.005328218664261403
Cu_2,0.014206119258473072
Cu_3,0.02236522858404653
Cu_4,0.03407092968938461
Cu_5,0.042942733683990715
Cu_6,0.04663178188182445
Pb_1,0.005982645261724755
Pb_2,0.01108610818765061
Pb_3,0.01621837943797123
Pb_4,0.018980710107347903
Pb_5,0.02023628926101992
Pb_6,0.017815939201228263
