,araE
Cr_1,0.0048273580306079705
Cr_2,0.009529350467831177
Cr_3,0.014243664007540575
Cr_4,0.01460173185461849
Cr_5,0.021039969449797424
Cr_6,0.027096935253244348
Fe_1,-0.00802912808753112
Fe_2,-0.022281045408776762
Fe_3,-0.040271565462119865
Fe_4,-0.05166975291644532
Fe_5,-0.05467705246403028
Fe_6,-0.07377944872796173
Cd_1,-0.022598014679817337
Cd_2,0.035308282543805504
Cd_3,0.015550850581454376
Cd_4,0.0035348748634707007
Cd_5,0.04994509905481812
Cd_6,0.03259776745996985
Zn_1,-0.002333318039425243
Zn_2,0.0023402570948877306
Zn_3,0.017832021763197353
Zn_4,0.030275317559724537
Zn_5,0.04106023578943484
Zn_6,0.051795705713062835
Cu_1,-0.016357776268048647
Cu_2,-0.0387584037414738
Cu_3,-0.0565474888940482
Cu_4,-0.06868048916902714
Cu_5,-0.06305659960373998
Cu_6,-0.06383183437502549
Pb_1,0.007056993572348148
Pb_2,0.012219237895877384
Pb_3,0.015113695161695626
Pb_4,0.01770426830516505
Pb_5,0.021865738726909025
Pb_6,0.02749289356833888
