,cysJ
Cr_1,0.013045218788153177
Cr_2,0.04493587344369699
Cr_3,0.09217428425756212
Cr_4,0.1315366769951919
Cr_5,0.16963913532500574
Cr_6,0.20166545815949166
Fe_1,-0.010473456738764823
Fe_2,0.011759404396492056
Fe_3,0.045187073514556524
Fe_4,0.06500523210663682
Fe_5,0.09088917050513444
Fe_6,0.12422765488707348
Cd_1,0.004842578598639136
Cd_2,0.016839149072607078
Cd_3,0.023070543079709748
Cd_4,0.03195693692453229
Cd_5,0.03540763681360079
Cd_6,0.046829069225986765
Zn_1,-0.0019354307265818966
Zn_2,0.008397502920252316
Zn_3,0.02252208046417761
Zn_4,0.03821140682102031
Zn_5,0.057606668256537125
Zn_6,0.0801858428218202
Cu_1,0.010577481479049798
Cu_2,0.030130082092045856
Cu_3,0.0438862064977281
Cu_4,0.053937759092067605
Cu_5,0.0658836959714685
Cu_6,0.07592265831742342
Pb_1,0.007948349884430925
Pb_2,0.02170395478089254
Pb_3,0.030913586396008524
Pb_4,0.03693511227557295
Pb_5,0.04139767099154138
Pb_6,0.04298000504105333
