locus,gene_weight,gene_name,gene_product,cog,regulator,link
SP5448_07145,0.2257320994,SP5448_07145,ABC transporter ATP-binding protein,Function unknown,Rgg,
SP5448_09190,0.1750692086,rpmG,50S ribosomal protein L33,"Translation, ribosomal structure and biogenesis",Rgg,
SP5448_05345,0.14358512810000001,rluD,pseudouridine synthase,"Translation, ribosomal structure and biogenesis",Nra_transition_M49,
SP5448_07085,0.1241646457,SP5448_07085,membrane protein,Function unknown,Mga,
