,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,7.130943000249999,0.0175377977979374,2.0,0.0,7.1185419045,5.0,7.143344096,,
1,U01-Set001__USA300 LAC CA-MHB Control,10.4103228948,0.0023895514015078697,2.0,1.0,10.4120125628,6.0,10.4086332268,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,7.100105392950001,0.06668761056268181,2.0,2.0,7.1472606546,7.0,7.0529501313,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,6.9068528560499995,0.08278490336604039,2.0,3.0,6.9653906226,8.0,6.8483150895,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,7.6047440675499995,0.06797845958900343,2.0,4.0,7.6528120973,9.0,7.5566760378,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,9.268804349749999,1.291648940372763,2.0,10.0,10.1821380744,29.0,8.3554706251,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,7.621478242249999,0.2803149279906395,2.0,11.0,7.8196908287,30.0,7.4232656558,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,7.87174915655,1.1361020633997614,2.0,12.0,8.6750946297,31.0,7.0684036834,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,6.01327014415,0.6723669609732844,2.0,13.0,5.5378349066,14.0,6.4887053817,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,4.13354606835,0.1376459795600838,2.0,15.0,4.0362156628,18.0,4.2308764739,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,4.0922230971,0.09790276085859857,2.0,16.0,4.022995391,19.0,4.1614508032,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,4.476194560550001,0.13583781757660707,2.0,17.0,4.5722464025,20.0,4.3801427186,,
