,hdhA
Cr_1,0.0015568518297228392
Cr_2,0.005223248412286126
Cr_3,0.008762005972166594
Cr_4,0.013641875520770662
Cr_5,0.016354171827598303
Cr_6,0.014705738935534209
Fe_1,-0.006185479521087259
Fe_2,-0.030013136223485275
Fe_3,-0.0537140226102065
Fe_4,-0.08191051584889666
Fe_5,-0.10294189947367224
Fe_6,-0.11898389149368704
Cd_1,0.004809693406222346
Cd_2,0.011464635034309969
Cd_3,0.014091906910329662
Cd_4,0.01653038290949839
Cd_5,0.013372008892658648
Cd_6,0.014632759088798316
Zn_1,-0.0016493491886911658
Zn_2,-0.002365129093337853
Zn_3,-0.000763333927454012
Zn_4,0.013892251629124195
Zn_5,0.031982532274627565
Zn_6,0.047714121136411713
Cu_1,0.006689292751453652
Cu_2,0.01083016515304986
Cu_3,0.009782880419285643
Cu_4,0.011605995414057385
Cu_5,0.011505249251229659
Cu_6,0.016713062593285578
Pb_1,0.0012112559393501828
Pb_2,-0.002951032617891992
Pb_3,0.0022460007659407108
Pb_4,0.012574932867942245
Pb_5,0.03251885498908828
Pb_6,0.04949442506682708
