,ycbK
Cr_1,0.0016400003974692445
Cr_2,0.003496500738943275
Cr_3,0.0019374559846710704
Cr_4,0.002054464419767592
Cr_5,0.005352581228894517
Cr_6,0.006933331203412853
Fe_1,0.002706284610880354
Fe_2,-0.0006650724898406059
Fe_3,-0.010725013801579879
Fe_4,-0.02168623542906748
Fe_5,-0.02540131041007297
Fe_6,-0.025815429228313085
Cd_1,-0.00018487229508327136
Cd_2,0.002757600877058032
Cd_3,0.0061835392041691035
Cd_4,0.009108430481051585
Cd_5,0.011966370744790242
Cd_6,0.016955782163554912
Zn_1,-0.00041444020181359234
Zn_2,-0.0031248037439705213
Zn_3,0.006172990954365068
Zn_4,0.006479247620556611
Zn_5,0.006438512723827421
Zn_6,0.010386586368098505
Cu_1,0.006786861661829801
Cu_2,0.010828926485869157
Cu_3,0.017713768544248713
Cu_4,0.022614713070964982
Cu_5,0.02554319285767894
Cu_6,0.02741727982741304
Pb_1,0.000710326374338681
Pb_2,-0.002612519746230864
Pb_3,-0.0012041438105046545
Pb_4,0.0013047617031957336
Pb_5,0.0037680462943219632
Pb_6,0.006903603114859557
