locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS09400,0.2509783550197844,Saci_1947,Saci_1947,hypothetical protein,Transcription,Op1150,,https://www.uniprot.org/uniprot/A0A0U3GMH0
SACI_RS09540,0.218173024393568,SACI_RS09540,,hypothetical protein,No arCOG annotation,Op1168,,https://www.uniprot.org/uniprot/A0A0U2X333
SACI_RS01505,0.1773180338336666,Saci_0308,Saci_0308,biotin attachment protein,Energy production and conversion,Op175,,https://www.uniprot.org/uniprot/A0A0U2VW51
SACI_RS09575,0.13567703583976062,Saci_1980,Saci_1980,hypothetical protein,Transcription,Op1174,,https://www.uniprot.org/uniprot/A0A0U3HCG5
SACI_RS11820,0.13010005556160886,SACI_RS11820,,integrase,Function Unknown,Op455,,
SACI_RS11600,0.12697840987359074,Saci_0855,Saci_0855,TRASH domain-containing protein,Function Unknown,Op447,,https://www.uniprot.org/uniprot/UPI00005523E6
