,-0.062308304571428566,-0.041538869714285706,-0.020769434857142846,1.3877787807814457e-17,0.020769434857142874,0.041538869714285734,0.062308304571428594,0.08307773942857145,0.10384717428571431,0.12461660914285717,0.14538604400000005,0.16615547885714288,0.18692491371428577,0.20769434857142866,0.2284637834285715,0.24923321828571432,0.2700026531428572,0.2907720880000001,0.3115415228571429,0.33231095771428576
thresh,-0.072693022,0.072693022,3,,,,,,,,,,,,,,,,,
unreg,1,20,710,4142,632,37,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Dnr,1,2,2,3,2,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0
NarL,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],['PA4357' 'PA3911' 'PA3912'],[],[],[],[],[],[],[],[],[],[],[],[]
Dnr_genes,['nirN'],['PA0510' 'nirJ'],['PA0522' 'PA0521'],['PA0512' 'nirQ' 'nirC'],['nirM' 'nirL'],['nirS' 'PA0515' 'moaC' 'nirF' 'PA0513' 'moaE'],['moaD'],[],[],[],[],[],[],[],[],['moeA1' 'moaB1'],[],[],[],[]
NarL_genes,[],[],[],['narI'],['narJ'],['narH'],[],[],[],[],['narG'],[],[],[],['narK2'],[],['narK1'],[],[],[]
