locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Dnr,NarL,link
PA3877,0.261059337,narK1,,nitrite extrusion protein 1,Inorganic ion transport and metabolism,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3877&e1=1&assembly=complete
PA3915,0.257681365,moaB1,,molybdopterin biosynthesis protein B,Coenzyme transport and metabolism,"Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3915&e1=1&assembly=complete
PA3914,0.24570591,moeA1,,molybdenum cofactor biosynthesis protein A,Coenzyme transport and metabolism,"Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3914&e1=1&assembly=complete
PA3876,0.23276158800000002,narK2,,nitrite extrusion protein 2,Inorganic ion transport and metabolism,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3876&e1=1&assembly=complete
PA3875,0.15128818900000002,narG,,respiratory nitrate reductase subunit alpha,Energy production and conversion,NarL,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3875&e1=1&assembly=complete
PA3912,0.08953669800000001,PA3912,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3912&e1=1&assembly=complete
PA3911,0.08779428800000001,PA3911,,hypothetical protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3911&e1=1&assembly=complete
PA4357,0.07619613600000001,PA4357,,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4357&e1=1&assembly=complete
