,yhdA
Cr_1,-0.016685051529160982
Cr_2,-0.011380025090309696
Cr_3,-0.004531571788031347
Cr_4,0.01106783558711711
Cr_5,0.016275272529554248
Cr_6,0.007816639785828056
Fe_1,-0.01953423678484802
Fe_2,-0.05325328609437758
Fe_3,-0.09000728925897902
Fe_4,-0.12859053256963635
Fe_5,-0.1586630659584803
Fe_6,-0.1846056685374336
Cd_1,-0.002444358484340332
Cd_2,0.0025635069657257057
Cd_3,0.010224323515530185
Cd_4,0.015464751543776306
Cd_5,0.01352351551354022
Cd_6,0.018201353716743644
Zn_1,-0.15419648288705742
Zn_2,-0.0805408954733427
Zn_3,-0.10495548078092848
Zn_4,-0.10928848954277
Zn_5,-0.09655804648024087
Zn_6,-0.09363256508024928
Cu_1,0.0073354660669335825
Cu_2,0.010582789445897323
Cu_3,0.015330912097297325
Cu_4,0.022318722663736357
Cu_5,0.030013637131630237
Cu_6,0.028585893215433287
Pb_1,0.003318115688928831
Pb_2,0.009081960393461506
Pb_3,0.005727361672118222
Pb_4,0.014468943377912734
Pb_5,0.0258414076351754
Pb_6,0.03362969152950858
