,A,HmgR
R2,,0.17295590278740303
xmin,,-2.9580823465
xmid,,-1.554639736934214
xmax,,1.8557173113333327
ystart,,-2.657298030573957
yend,,5.160327190686604
ALE:GalactoseA5:1.0,1.163378103104309,1.0880409344999995
ALE:GalactoseA5:2.0,0.6523390669312582,1.1534562374999997
ALE:GalactoseA6:1.0,-0.2432253943231052,1.1139561044999997
ALE:GalactoseA6:2.0,0.7347296331160179,0.9854471894999994
ALE:GalactoseA8:1.0,-0.1609898892948215,1.0465087275
ALE:GalactoseA8:2.0,0.3886195429958919,0.6531633144999995
ALE:IL_Control:1.0,-0.1532503696296962,-0.0014228045000006
ALE:IL_Control:2.0,-1.4349648569168996,-0.1974177715000005
ALE:IL_Control:3.0,0.6334019716641671,0.0783324974999999
ALE:IL_Control:4.0,0.9548132538571966,0.1205080784999994
ALE:IL_TEOH_OAc:1.0,-2.2779443050536194,-0.4965259955000003
ALE:IL_TEOH_OAc:2.0,-0.5374198269286394,0.1665909794999995
ALE:IL_TEA_HS:1.0,0.3212785289378115,-0.1986641955000001
ALE:IL_TEA_HS:2.0,0.1092416510626682,-0.0199973925000005
ALE:IL_Mixed:1.0,-1.013380857265646,-0.2888266555000003
ALE:IL_Mixed:2.0,-1.290862309744006,0.3166418894999996
ALE:IL_PP5350:1.0,3.957054165802026,-0.1781224575000006
ALE:IL_PP5350:2.0,3.3607799547104444,0.0543854564999994
ALE:IL_T8:1.0,4.9060616598646005,0.3890503955
ALE:IL_T8:2.0,6.401927957511966,0.3980193324999996
ALE:IL_T9:1.0,0.6047046873424753,0.6973226924999993
ALE:IL_T9:2.0,2.2267309058520706,0.6743613044999996
ALE:IL_Control2:1.0,-0.0109812040051457,0.5970216434999998
ALE:IL_Control2:2.0,-0.8589771466091455,0.2638863034999996
ALE:IL_Glc+Ace:1.0,-0.6211163295891428,-0.1381951055000003
ALE:IL_Glc+Ace:2.0,-0.2465284366933702,0.2082086334999999
ALE:XyloseA1:1.0,1.5728460655963064,0.4740305714999993
ALE:XyloseA1:2.0,1.081832086477603,0.4550184004999993
ALE:XyloseA2:1.0,0.4823442156025061,0.8778214974999994
ALE:XyloseA2:2.0,-0.2671536438163738,1.0914761504999992
ALE:XyloseA3:1.0,0.5396873578089743,1.0217654074999991
ALE:XyloseA3:2.0,0.0792808186337084,0.7492556974999998
ALE:XyloseA4:1.0,0.4231745053402918,0.7089627624999997
ALE:XyloseA4:2.0,1.0824310900082572,0.5772780444999999
Aromatic:Coumarate:1.0,5.506552337370643,0.8266870486666664
Aromatic:Coumarate:2.0,4.565927221044048,0.6729676186666662
Aromatic:Coumarate:3.0,5.887342331251134,-0.0412321933333337
Aromatic:Coumarate+ferulate:1.0,7.603977756769776,1.1477215766666662
Aromatic:Coumarate+ferulate:2.0,7.211364629294263,0.3912911306666662
Aromatic:Coumarate+ferulate:3.0,7.59877704159249,0.5548598386666663
Aromatic:Ferulate:1.0,3.1976747390241385,0.4247159066666666
Aromatic:Ferulate:2.0,3.330835452436109,0.4290873856666666
Aromatic:Ferulate:3.0,3.467874498368183,0.7268659716666663
Aromatic:Glucose:1.0,0.0885113141207156,0.0907474726666666
Aromatic:Glucose:2.0,0.1442547682675464,0.1068383336666665
