,ypfH
Cr_1,0.0011681683131980055
Cr_2,0.0018700995082248228
Cr_3,0.005923299287531486
Cr_4,0.0055160855426652
Cr_5,0.007248677185951206
Cr_6,0.008271248956353451
Fe_1,-0.0037614137978399524
Fe_2,-0.02151323040624544
Fe_3,-0.043257099236379035
Fe_4,-0.0657325631059317
Fe_5,-0.08311387316807907
Fe_6,-0.09391264572920634
Cd_1,0.002751768255831572
Cd_2,0.005758647976610317
Cd_3,0.0037071503885713593
Cd_4,0.0033563044714330303
Cd_5,0.0003624839324327121
Cd_6,0.0009734041081250527
Zn_1,-0.0031021891456925344
Zn_2,-0.002386251169366845
Zn_3,0.009775615691557412
Zn_4,0.019913145950768915
Zn_5,0.02664859488078953
Zn_6,0.02722594476633397
Cu_1,0.0040967544257068614
Cu_2,0.006716036006402414
Cu_3,0.010176295091262355
Cu_4,0.012111931471856822
Cu_5,0.01759965206658058
Cu_6,0.02541548628242572
Pb_1,0.0021947612794548333
Pb_2,0.007145431636337112
Pb_3,0.0106120507729111
Pb_4,0.01485948390756376
Pb_5,0.022137925912407024
Pb_6,0.028901564204008193
