sample,new_3264537_3264677_c
LBexp_1,9.683
LBexp_2,10.2963
LBexp_3,9.3212
LBtran_1,9.6552
LBtran_2,8.8798
LBtran_3,8.9548
LBstat_1,9.0297
LBstat_2,9.0335
LBstat_3,8.8327
LBGexp_1,10.3555
LBGexp_2,10.3408
LBGexp_3,9.1472
LBGtran_2,8.3122
LBGtran_3,9.1671
LBGstat_1,9.7186
LBGstat_2,8.6826
LBGstat_3,9.1028
S0_1,9.5896
S0_2,9.7902
S0_3,9.8172
S1_1,11.8193
S1_2,11.6836
S1_3,11.8964
S2_1,10.9663
S2_2,10.3644
S2_3,10.2553
S3_1,10.968
S3_2,11.6156
S4_1,11.6453
S4_2,11.0698
S4_3,10.7134
S5_1,11.4244
S5_2,11.8187
S5_3,11.7729
S6_1,11.3708
S6_2,11.8508
S6_3,11.4425
S6/t_1,11.5167
S6/t_2,11.2096
S6_4,11.2776
S6_5,11.4336
S6_6,11.4864
S7_4,11.6006
S7_5,11.295
S7_6,11.7166
S8_4,11.3847
S8_5,11.2002
G135_1,9.5272
G135_3,8.5357
G150_1,9.0626
G150_2,9.6574
G150_3,9.256
G180_1,8.8672
G180_2,9.2044
G180_3,8.6802
C30_1,10.1317
C30_2,10.376
C90_1,11.4882
C90_2,11.9813
BI_1,10.5675
BI_2,10.4866
BC_2,11.5316
BC/t_1,10.9758
BC/t_2,11.4322
BC_1,11.0358
Sw_1,11.4185
Sw_2,11.9955
BT_1,13.0509
BT_2,12.4311
B36_1,12.0351
B36_2,11.7783
B60_1,10.4687
B60_2,10.7932
M9exp_1,10.7576
M9exp_2,10.4982
M9exp_3,10.3863
M9tran_1,10.3396
M9tran_2,10.3981
M9tran_3,10.4282
M9stat_1,9.5715
M9stat_2,9.4553
M9stat_3,9.2621
M+G_1,10.8871
M+G_2,10.2462
M+G_3,10.304
Glu_1,10.8928
Glu_2,10.6575
Glu_3,10.4731
Fru_1,10.3557
Fru_2,10.8965
Fru_3,10.3438
Mal_1,9.4378
Mal_2,9.8933
Mal_3,10.2884
G+S_2,10.5569
G+S_3,11.0865
Pyr_1,10.6443
Pyr_2,11.5994
Pyr_3,11.2847
Gly_1,9.8312
Gly_2,10.4116
Gly_3,9.4798
Glucon_1,10.2556
Glucon_2,10.5714
Glucon_3,9.7766
aero_1,11.2669
aero_2,9.8806
aero_3,10.332
nit_1,10.2627
nit_2,10.2975
nit_3,10.2807
ferm_1,10.0648
ferm_2,9.3884
ferm_3,10.3417
T-5.40H_1,11.4794
T-4.40H_1,11.2066
T-3.40H_1,11.2505
T-2.40H_1,11.1859
T-1.40H_1,11.4298
T-1.10H_1,11.4609
T-0.40H_1,11.5002
T0.0H_1,11.0145
T0.30H_1,10.2879
T1.0H_1,9.5
T1.30H_1,9.4547
T2.0H_1,10.0381
T2.30H_1,10.7892
T3.0H_1,10.2547
T3.30H_1,10.9442
T4.0H_1,11.0611
T5.0H_1,10.7657
HPh_1,10.9994
HPh_2,10.3842
HPh_3,10.302
LPh_1,10.9267
LPh_2,11.1595
LPh_3,10.5222
LPhT_1,11.4103
LPhT_2,11.7984
LPhT_3,11.9552
SMMPr_1,10.7453
SMMPr_2,10.6338
SMMPr_3,10.7775
HiTm_1,10.0046
HiTm_2,9.4328
HiTm_3,10.1903
LoTm_1,10.5263
LoTm_2,11.0295
LoTm_3,10.5252
HiOs_1,11.38
HiOs_2,11.4139
HiOs_3,11.4059
BMM_1,11.0342
BMM_2,10.9314
BMM_3,11.0727
Heat_1,11.3193
Heat_2,11.0939
Heat_3,10.9764
Cold_1,9.5815
Cold_2,9.2366
Cold_3,9.052
Etha_1,11.4092
Etha_2,11.1244
Etha_3,11.3978
SMM_1,10.5564
SMM_2,10.6671
SMM_3,10.635
Salt_1,11.6758
Salt_2,11.7947
Salt_3,11.6481
Mt0_1,9.3325
Mt0_3,9.1519
M0t45_1,10.6791
M0t45_2,9.1003
M0t45_3,10.1885
M0t90_1,9.0717
M0t90_2,9.5017
M0t90_3,9.7628
M40t45_1,10.1093
M40t45_2,9.8702
M40t45_3,10.7167
M40t90_1,9.1278
