,A,RpoE
R2,,0.5961897960925426
xmin,,-1.5045065695000002
xmid,,0.4571538365958573
xmax,,3.0258170735
ystart,,-1.6287318056832776
yend,,7.721847039770441
control__wt_glc__1,-0.0862759926,-0.0180984845
control__wt_glc__2,0.0862759926,0.0180984845
fur__wt_dpd__1,2.2289328361,1.6799141285
fur__wt_dpd__2,2.1008554598,1.8721906775
fur__wt_fe__1,0.5549544223,0.0563487105
fur__wt_fe__2,0.7193513532,0.0324729895
fur__delfur_dpd__1,3.4490374287,1.8852421845
fur__delfur_dpd__2,4.1291660625,2.2885473535
fur__delfur_fe2__1,1.9733053778,0.8250449985
fur__delfur_fe2__2,2.2624126881,0.8119283305
acid__wt_ph5__1,3.7578200815000002,1.3801301595
acid__wt_ph5__2,3.8848533993,1.3659476375000001
acid__delgadx_ph5__2,5.3069127423,1.6935235095
acid__delgadw_ph5__1,3.9493633805,1.3510059775
acid__delgadw_ph5__2,4.653720023,1.4930185215
acid__delgade_ph5__1,3.786886317,1.2834220645
acid__delgade_ph5__2,3.4685038502,1.2782140675
oxidative__wt_pq__1,3.00291707,1.8363188925
oxidative__wt_pq__2,2.5854011982,1.9161123275
oxidative__deloxyr_pq__1,1.8288721238,1.2038353795
oxidative__deloxyr_pq__2,2.0959304457,1.3073953485
oxidative__delsoxr_pq__1,0.628485792,1.4388277835
oxidative__delsoxr_pq__2,0.5676136861000001,1.3490506795
oxidative__delsoxs_pq__1,1.297572644,2.0312896655
oxidative__delsoxs_pq__2,1.4267923628,2.0190356855
nac_ntrc__wt_csn__1,2.4816182647,1.4478974045
nac_ntrc__wt_csn__2,2.3705882955,1.5906978275
nac_ntrc__wt_cytd__1,2.4332706988,1.0851983085
nac_ntrc__wt_cytd__2,2.3382379819,1.1836714305
nac_ntrc__wt_gln__1,3.3221244668,1.2957329165
nac_ntrc__wt_gln__2,3.3758215825,1.3483150205
nac_ntrc__bw_delnac_csn__1,2.2635641998000002,2.0182131315
nac_ntrc__bw_delnac_csn__2,2.2626492375,1.7331418775
nac_ntrc__bw_delnac_cytd__1,3.3274315377,1.3076745945
nac_ntrc__bw_delnac_cytd__2,3.193823699,1.2361590745
