,rpmI
Cr_1,-0.010922484467242772
Cr_2,-0.005550173425821484
Cr_3,-0.0010533616469041397
Cr_4,0.0012485635182894078
Cr_5,-0.006404046522794043
Cr_6,-0.005530886378628846
Fe_1,-0.0163424826993495
Fe_2,-0.036394136537896825
Fe_3,-0.05298517579946205
Fe_4,-0.06551441971028603
Fe_5,-0.06955922259824894
Fe_6,-0.07178535591061327
Cd_1,0.008267823305498117
Cd_2,0.017354315630578914
Cd_3,0.02441848441078328
Cd_4,0.029034935786333538
Cd_5,0.02864443754770388
Cd_6,0.04100559372615115
Zn_1,-0.00568767164468724
Zn_2,-0.013832924575701348
Zn_3,-0.01135640333204212
Zn_4,-8.976111203053391e-05
Zn_5,0.008851632211182252
Zn_6,0.015929845849225552
Cu_1,0.010827642804757466
Cu_2,0.04554641473912286
Cu_3,0.09078085351648067
Cu_4,0.12807245289009192
Cu_5,0.1561147652725725
Cu_6,0.17988303868040012
Pb_1,0.003990676553137965
Pb_2,0.009575695190685723
Pb_3,0.014858782878490415
Pb_4,0.022207570741644245
Pb_5,0.026585316794598232
Pb_6,0.03902759392642083
