,potF
Cr_1,0.0033797304169757326
Cr_2,0.00877647506142974
Cr_3,0.0161718661317987
Cr_4,0.021596235046744246
Cr_5,0.02812571989949086
Cr_6,0.03314502992629231
Fe_1,-0.005793172339661343
Fe_2,-0.019562659719960858
Fe_3,-0.04266987367367446
Fe_4,-0.0742404128782919
Fe_5,-0.09698153634846604
Fe_6,-0.11251661472938816
Cd_1,0.004288255482385615
Cd_2,0.012086118463369929
Cd_3,0.02096258248432273
Cd_4,0.029382969736962538
Cd_5,0.03211637580599569
Cd_6,0.038564754780699616
Zn_1,-0.0012031462924680632
Zn_2,-0.0046971868979907684
Zn_3,-0.0039893191633777894
Zn_4,-0.0011268732805557605
Zn_5,0.0014966423698285713
Zn_6,0.00015797284155771876
Cu_1,0.002674435271360517
Cu_2,0.007713487189539249
Cu_3,0.009310508773401482
Cu_4,0.007671102101870264
Cu_5,0.012990728197132656
Cu_6,0.01904675225675504
Pb_1,0.012407740243981448
Pb_2,0.02493491110826232
Pb_3,0.04286584651164799
Pb_4,0.059498902165212225
Pb_5,0.07288724018901199
Pb_6,0.08542499836462639
