,ychF
Cr_1,0.0017817628595097907
Cr_2,0.005788972543579282
Cr_3,0.014339860794162631
Cr_4,0.02375317874263325
Cr_5,0.03142324841525908
Cr_6,0.0399021139443711
Fe_1,0.002200162030214407
Fe_2,-0.0023833134729058297
Fe_3,-0.0027189361409138066
Fe_4,-0.013963364238177482
Fe_5,-0.026880182125502642
Fe_6,-0.045740053229938515
Cd_1,-0.016451432479992704
Cd_2,-0.02109931924747746
Cd_3,-0.011056490906819313
Cd_4,0.01746035518197001
Cd_5,0.0781411932204551
Cd_6,0.17682787414148718
Zn_1,0.00528613318406474
Zn_2,0.01520516943398392
Zn_3,0.02899347897543142
Zn_4,0.03593533060391617
Zn_5,0.03996941722209886
Zn_6,0.04760581987470672
Cu_1,-0.0030811975619183646
Cu_2,-0.0011280646668089974
Cu_3,0.0027767347935350327
Cu_4,0.008522243424417259
Cu_5,0.01520679167633368
Cu_6,0.023384858049434853
Pb_1,0.008470568858206164
Pb_2,0.013181067153064848
Pb_3,0.015723596594816924
Pb_4,0.02640171640378139
Pb_5,0.037008136962678885
Pb_6,0.05291834698482708
