,pitB
Cr_1,-0.0035286525398092157
Cr_2,-0.007341076026805426
Cr_3,-0.008191652026594056
Cr_4,-0.008770003260872641
Cr_5,-0.0061322049658769475
Cr_6,-0.006702342924038434
Fe_1,-0.0043138697591335335
Fe_2,-0.018864139963458246
Fe_3,-0.04289545011439051
Fe_4,-0.07038871244437797
Fe_5,-0.09186145372493296
Fe_6,-0.10347790340783873
Cd_1,0.002423483302879065
Cd_2,0.005338639367351761
Cd_3,0.006795408562540704
Cd_4,0.009414318381801356
Cd_5,0.00985281033577615
Cd_6,0.011529693086748621
Zn_1,-0.013714664838399756
Zn_2,-0.0320747683741935
Zn_3,-0.053162438436823715
Zn_4,-0.07032112058440658
Zn_5,-0.0872691062204105
Zn_6,-0.10534569537417224
Cu_1,-0.0023027827366267364
Cu_2,-0.00444948489133245
Cu_3,-0.007303825352840367
Cu_4,-0.011549751022977478
Cu_5,-0.013640668694938777
Cu_6,-0.014149012024988009
Pb_1,-0.0052509200689893655
Pb_2,-0.01019168809148558
Pb_3,-0.014552763148578403
Pb_4,-0.019008073294623225
Pb_5,-0.024196130963019112
Pb_6,-0.02802077397742717
