,cpdB
Cr_1,0.0007844257684630345
Cr_2,0.005148263393655931
Cr_3,0.0075060825474137045
Cr_4,0.014124960402783446
Cr_5,0.01524773099252954
Cr_6,0.015592499356911241
Fe_1,0.002256404451606535
Fe_2,0.0034926518385696988
Fe_3,0.0040816902215509146
Fe_4,0.002300998787876108
Fe_5,0.004381939640862691
Fe_6,0.007000579429673969
Cd_1,0.0038496926562382014
Cd_2,0.009010380957161605
Cd_3,0.01542040023785894
Cd_4,0.01991594682890806
Cd_5,0.020084391287262124
Cd_6,0.022878341199574187
Zn_1,-0.009347065125469322
Zn_2,-0.014315532422826687
Zn_3,-0.02123232188187306
Zn_4,-0.02525168549485993
Zn_5,-0.035290215921143155
Zn_6,-0.04759086818063002
Cu_1,0.003500836355593327
Cu_2,0.008861552609074666
Cu_3,0.013552908100644048
Cu_4,0.020080967050734325
Cu_5,0.028759632796143905
Cu_6,0.03918759943606152
Pb_1,0.003945165148210674
Pb_2,0.008289548203969101
Pb_3,0.015355017315925038
Pb_4,0.02286742798236583
Pb_5,0.02650216962781349
Pb_6,0.03510964021870532
