,yhbU
Cr_1,-0.001332458448196948
Cr_2,-0.0014961341168914881
Cr_3,0.004507651079660232
Cr_4,0.011557610716292488
Cr_5,0.014785685602912662
Cr_6,0.0190077402819551
Fe_1,-0.005908715420816954
Fe_2,-0.021095978948045303
Fe_3,-0.022244472553486067
Fe_4,-0.03121563809574562
Fe_5,-0.0346179974599564
Fe_6,-0.038474640948162005
Cd_1,0.001144007945150658
Cd_2,0.0006886618094551586
Cd_3,0.004388914131807306
Cd_4,0.003210544962154053
Cd_5,-0.0014550885501183385
Cd_6,0.004865633668370113
Zn_1,-0.0009944449849358557
Zn_2,-0.005579771284307058
Zn_3,-0.001956309517460111
Zn_4,-0.003387858275809868
Zn_5,0.0018482080641893165
Zn_6,0.007818416411741963
Cu_1,0.006049462133657116
Cu_2,0.011739048217334248
Cu_3,0.015194130905045755
Cu_4,0.013919316405372608
Cu_5,0.009266544278020691
Cu_6,0.004469839575735796
Pb_1,0.006493421510434414
Pb_2,0.007967122061923744
Pb_3,0.011719446466428031
Pb_4,0.01731980395517124
Pb_5,0.02700508152403867
Pb_6,0.03207409663894581
