,ygbA
Cr_1,-0.0342410664307324
Cr_2,-0.099600075716244
Cr_3,-0.04743026147190088
Cr_4,0.015289463185784825
Cr_5,0.06859887883092723
Cr_6,0.12177829359831725
Fe_1,-0.0007236511336836433
Fe_2,-0.025324809998485177
Fe_3,-0.046366896600786085
Fe_4,-0.0824422831498155
Fe_5,-0.07679328090853474
Fe_6,-0.055489518922029135
Cd_1,0.005228428298338893
Cd_2,0.012938983217229477
Cd_3,0.016036983548501027
Cd_4,0.021448616339629637
Cd_5,0.0217186110682724
Cd_6,0.03021606269654995
Zn_1,-0.0002748235761692797
Zn_2,0.005309440735019784
Zn_3,0.015572237962291615
Zn_4,0.028097189503197603
Zn_5,0.04227077806545456
Zn_6,0.0554908402417057
Cu_1,-0.0020992690951488428
Cu_2,-0.0010791934684895082
Cu_3,-0.0012538153205438412
Cu_4,0.0011438320655231034
Cu_5,0.00568706876985091
Cu_6,0.01489789166433844
Pb_1,0.0011879604069991243
Pb_2,0.0043232648661214465
Pb_3,0.004356214462405022
Pb_4,0.003228410507070637
Pb_5,0.008387635078122327
Pb_6,0.008631645333144719
