,entF
Cr_1,-2.5438182084021288e-05
Cr_2,0.0033883411021933363
Cr_3,0.00657131183146826
Cr_4,0.009660376283678962
Cr_5,0.010596680670426007
Cr_6,0.012157104367562174
Fe_1,-0.010615259857053704
Fe_2,-0.02155339984182968
Fe_3,-0.028510038403522075
Fe_4,-0.03876518347654143
Fe_5,-0.04420995284753272
Fe_6,-0.04573445530179393
Cd_1,0.001042403396008261
Cd_2,0.0034334115347205907
Cd_3,0.008369565092567156
Cd_4,0.009860254249112242
Cd_5,0.008785836187735327
Cd_6,0.011494674477090185
Zn_1,-0.004984406153182013
Zn_2,0.0014446172082963368
Zn_3,0.015983531122164427
Zn_4,0.03648872377197506
Zn_5,0.047484222689626175
Zn_6,0.05936889940522684
Cu_1,0.003110867996717781
Cu_2,0.0065627589863389854
Cu_3,0.009441749177864882
Cu_4,0.01248403994564364
Cu_5,0.014421776369792775
Cu_6,0.01888692231980707
Pb_1,0.00891135327517465
Pb_2,0.01175676069740109
Pb_3,0.013334592290279576
Pb_4,0.02723448785522991
Pb_5,0.03551841067510029
Pb_6,0.04192702163778938
