,ssrA
Cr_1,-0.002927041401954903
Cr_2,-0.0059235197507551286
Cr_3,0.0010251750064348493
Cr_4,0.003122668465136905
Cr_5,0.00525607104391392
Cr_6,0.006293671048690203
Fe_1,-0.010610221143464849
Fe_2,-0.032718052225456914
Fe_3,-0.055354542496234616
Fe_4,-0.06927550449854951
Fe_5,-0.08094673220696509
Fe_6,-0.08502669715694701
Cd_1,-0.0034985652979169003
Cd_2,-0.00017370850596470927
Cd_3,-0.001515508963285793
Cd_4,0.001041623699081951
Cd_5,0.0051599184542147755
Cd_6,0.004549649622872851
Zn_1,-0.0062861418607268954
Zn_2,-0.004942232067571432
Zn_3,0.0006607279122328197
Zn_4,0.0254862670929675
Zn_5,0.04170982640544612
Zn_6,0.04958140332009102
Cu_1,0.004184149855230461
Cu_2,0.007303236355710736
Cu_3,0.010449898225158814
Cu_4,0.01932064609947304
Cu_5,0.028894754308038964
Cu_6,0.03251964493073183
Pb_1,0.00269970957270994
Pb_2,0.013184636169398472
Pb_3,0.0212903698066523
Pb_4,0.03367971319293072
Pb_5,0.04857663532529749
Pb_6,0.060067491141503414
