,A,ArnR,ArnA,ArnB,ArnR1
R2,,0.5971305600596084,0.4120212507361548,0.37661566154138437,0.1529501276167089
xmin,,-3.450198498723726,-1.2527306366548745,-1.0174725846918573,-3.32107695468879
xmid,,,,,-0.1382044466685466
xmax,,4.025464181978913,0.8490589541258782,1.3636219603971362,1.8267479847132997
ystart,,-16.452394379139655,-9.160254231192539,-7.4698825700162415,-2.975493542972845
yend,,13.080891673990678,9.794143460167732,12.372718401452019,9.490687059690345
Chrom:sac_log:1,4.0656638721959775,-0.4609209197196247,-0.16801682887182956,-0.2067615811137049,1.1119778319544116
Chrom:sac_log:2,3.7857520981721433,0.13341911944103213,-0.1633996971439018,-0.20254543039309425,0.8962061660019955
Chrom:sac_sta:1,21.137432715709085,3.9147888126539767,0.08613172061630793,0.07897324141856821,1.8267479847132997
Chrom:sac_sta:2,19.866492933765254,4.025464181978913,0.09093626759159967,0.13416834673160416,0.9875595172801191
Chrom:sac_MW001:1,-0.4952410614923056,0.12356900345207845,-0.046258648605901335,-0.028428021082902436,0.0626890771888835
Chrom:sac_MW001:2,0.4952410614922934,-0.12356900345207845,0.046258648605899566,0.028428021082902436,-0.0626890771888835
Chrom:sac_fadR:1,0.16765341902616235,-0.035877428278957346,-0.09253052702560004,-0.00531163111535804,0.16884906341332862
Chrom:sac_fadR:2,-0.6785970620224667,0.13688632049575133,-0.0977487310288776,-0.007276350386629105,0.3687118436198116
FadR:wt_p:1,1.1375129161670698,0.16229823564173618,0.04420855509133759,0.011337926381804309,0.2522153721691716
FadR:wt_p:2,-1.137512916167081,-0.16229823564173618,-0.04420855509133759,-0.011337926381804309,-0.2522153721691716
FadR:ko_p:1,1.0905236406961891,-0.4759726959648027,-0.0017087839464373644,-0.05374750492203262,0.2724131761074684
FadR:ko_p:2,-0.13701239760759765,-0.6141839291083215,-0.06756963077402389,-0.04499489035383597,0.047957312261220686
GDGT:75_2.4_log:1,-3.294014395561492,-0.2961959166923158,-0.007061752894372829,-0.017638641936663646,-0.4851523773740629
GDGT:80_3.5_stat:1,-7.565370101678952,-0.5861167606238773,-0.932803095237002,-0.8827284793520143,-2.940959786193268
GDGT:80_2.4_log:1,-2.1665678667412567,-0.163595364808927,-1.0788302840159163,-0.7899278838429781,0.3629507223453183
GDGT:75_3.5_stat:1,-7.538821951522915,-0.9418918915034142,-0.622352761537929,-0.44969330388509293,-1.2978787485945018
GDGT:80_1.6_stat:1,-11.395131590448155,0.5927134240671244,-0.6602136046353024,-0.6028841814274113,-1.4861239451819523
GDGT:80_1.6_stat:2,-6.82849503209034,1.01310046619545,-0.8500306209473223,-0.7852593903081235,-1.2265437527385992
GDGT:75_2.4_stat:1,-5.985115396773044,0.2388468155917032,-0.9712288591142162,-0.7797431765601353,-0.5442275885377343
GDGT:80_2.4_stat:1,-10.021872237018538,-0.2453808418121639,-0.9015616303182908,-0.8238681722710552,-0.8390904569582096
GDGT:80_3.5_stat:2,-7.8201485710120595,-0.5420009201046998,-0.7476538336752867,-0.6559000806321933,-2.530152915850535
GDGT:80_1.6_log:1,-4.323198112496963,-0.32496307996719764,-0.9531749309034314,-0.5531827677126078,0.6810968101912813
GDGT:65_3.5_stat:1,6.1105176373736505,0.9815199589595308,-0.6359968494309332,-0.4024827907374693,0.7285524611522467
