,yciG
Cr_1,-0.0008465302747918054
Cr_2,-0.005838780829668664
Cr_3,-0.013792113364693215
Cr_4,-0.018548667066658888
Cr_5,-0.024240574066989262
Cr_6,-0.028377024123029306
Fe_1,-0.018935688519443068
Fe_2,-0.0872966428271879
Fe_3,-0.1928015028021887
Fe_4,-0.3098821329760914
Fe_5,-0.4204409639158583
Fe_6,-0.5246338813398367
Cd_1,0.009213766261390623
Cd_2,0.012218748135641685
Cd_3,0.013936711259066729
Cd_4,0.01452085740108594
Cd_5,0.010585308908662529
Cd_6,0.01196949592794962
Zn_1,-0.01868623072027305
Zn_2,-0.027738386511215227
Zn_3,-0.03184139862040267
Zn_4,-0.03157199548373937
Zn_5,-0.03940034078749617
Zn_6,-0.048617948278102965
Cu_1,0.0019179977882918824
Cu_2,0.014921480847747297
Cu_3,0.02623996836799217
Cu_4,0.035973299347315295
Cu_5,0.038186923485250435
Cu_6,0.04037256032945165
Pb_1,0.01433844473461066
Pb_2,0.025514888864256163
Pb_3,0.02922753800470325
Pb_4,0.04056340241500914
Pb_5,0.04760183307599253
Pb_6,0.045671062338034224
