gene_id,USA300HOU_RS01585
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,Function unknown
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN001215000"">AureoWiki</a>"
