,fes
Cr_1,0.005105768315189868
Cr_2,0.012494968664546777
Cr_3,0.012070719026901551
Cr_4,0.015641587179665586
Cr_5,0.01602401164455989
Cr_6,0.01608051236099825
Fe_1,-0.03229786613457437
Fe_2,-0.09103115770770424
Fe_3,-0.18233148783331046
Fe_4,-0.3100884834948063
Fe_5,-0.4437118114530036
Fe_6,-0.5892137159959961
Cd_1,-0.003999203311378427
Cd_2,-0.004766392333850615
Cd_3,-0.002382066789578364
Cd_4,0.0044826963591238465
Cd_5,0.007250140991271814
Cd_6,0.01984176685781073
Zn_1,-0.0001763697223102432
Zn_2,0.020484867714652383
Zn_3,0.05770008331384178
Zn_4,0.11280008573728716
Zn_5,0.13554611129074226
Zn_6,0.1551668920190471
Cu_1,0.008878635962578409
Cu_2,0.01686957153639809
Cu_3,0.03027970475129932
Cu_4,0.051125149664548224
Cu_5,0.07236132120807905
Cu_6,0.09575251432278907
Pb_1,0.007629889538920329
Pb_2,0.019283457515013643
Pb_3,0.03277983158749242
Pb_4,0.050722607348959066
Pb_5,0.06523156413252679
Pb_6,0.07964447362146042
