,-0.050107425239127486,-0.03340495015941833,-0.01670247507970917,-1.3877787807814457e-17,0.016702475079709143,0.033404950159418294,0.05010742523912746,0.06680990031883663,0.08351237539854578,0.10021485047825493,0.11691732555796408,0.13361980063767326,0.1503222757173824,0.16702475079709156,0.18372722587680074,0.20042970095650986,0.21713217603621904,0.23383465111592822,0.25053712619563734,0.2672396012753465
thresh,-0.05845866277898207,0.05845866277898207,3,,,,,,,,,,,,,,,,,
unreg,6,35,894,3851,677,49,9,7,5,1,2,2,0,0,0,0,0,0,0,0
NrdR,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Anr,0,2,3,1,1,3,3,5,2,0,0,0,3,1,0,1,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],['PA1123' 'azu' 'PA4358' 'PA4352' 'PA5230' 'PA4350' 'katA'],['PA0459' 'PA2126' 'PA4357' 'PA3309' 'PA4351'],['oprG'],['PA1746' 'adhA'],['ccpR' 'PA0141'],[],[],[],[],[],[],[],[]
NrdR_genes,[],[],[],['topA'],[],['nrdG' 'nrdD' 'nrdA' 'nrdB'],['nrdJa'],[],['nrdJb'],[],[],[],[],[],[],[],[],[],[],[]
Anr_genes,[],['arcD' 'moaC'],['moeA1' 'moaB1' 'moaD'],['moaE'],['PA0512'],['PA0513' 'PA0510' 'PA0515'],['nirS' 'nirJ' 'nirN'],['nirF' 'nirC' 'nirL' 'nirM' 'hcnC'],['hcnA' 'hcnB'],[],[],[],['ccoN2' 'arcA' 'arcC'],['arcB'],[],['ccoQ2'],['ccoP2' 'ccoO2'],[],[],[]
