,rlmB
Cr_1,0.006871812475574535
Cr_2,0.012027369673615314
Cr_3,0.010538313579580056
Cr_4,0.0088098292284852
Cr_5,0.015099216617479988
Cr_6,0.01455673752861981
Fe_1,-0.031444144397979594
Fe_2,-0.07465829702450939
Fe_3,-0.1011956254788718
Fe_4,-0.1267186678010114
Fe_5,-0.1465177678909016
Fe_6,-0.1464124050143276
Cd_1,0.010301529341834138
Cd_2,0.02315235773208256
Cd_3,0.03652812521225977
Cd_4,0.04279839901862675
Cd_5,0.054551973767281235
Cd_6,0.06974803726942899
Zn_1,0.0035835056951157647
Zn_2,-0.010830224800141404
Zn_3,0.003849714766917744
Zn_4,0.025507267359071464
Zn_5,0.018413025671803317
Zn_6,0.010771556047541785
Cu_1,0.006877627260435929
Cu_2,0.0185440499782018
Cu_3,0.028150664102700382
Cu_4,0.03482962823175928
Cu_5,0.03957121491607616
Cu_6,0.04718797778193483
Pb_1,-0.002987861683639896
Pb_2,0.007529608001742265
Pb_3,0.03038651524675315
Pb_4,0.04243329713720448
Pb_5,0.0600609168289652
Pb_6,0.07809979856182064
