,yjcO
Cr_1,0.0002001239696059187
Cr_2,0.004070544989430771
Cr_3,0.00894814736486532
Cr_4,0.01241757494450894
Cr_5,0.015798332301115905
Cr_6,0.020096089833627696
Fe_1,-0.01008072162606044
Fe_2,-0.02102433801333644
Fe_3,-0.024827522893192042
Fe_4,-0.0328087526313635
Fe_5,-0.03736791388013677
Fe_6,-0.03831786694222899
Cd_1,0.003038866049137744
Cd_2,0.007603439929711924
Cd_3,0.01371888222529406
Cd_4,0.018233697097556387
Cd_5,0.01878319677016422
Cd_6,0.025604035602025853
Zn_1,-0.0030054872252096108
Zn_2,0.0007774291681143117
Zn_3,0.015858520590955424
Zn_4,0.03699541320069042
Zn_5,0.054860403566463316
Zn_6,0.06802927472831598
Cu_1,0.007373950983406645
Cu_2,0.013467778852786702
Cu_3,0.01966014225678815
Cu_4,0.0268110829634002
Cu_5,0.03759540157129535
Cu_6,0.04887836867279815
Pb_1,0.007296648770564725
Pb_2,0.015220680733023325
Pb_3,0.02734409100948316
Pb_4,0.0439886600678116
Pb_5,0.060140914312217075
Pb_6,0.08012805287697658
