,yecM
Cr_1,0.0024714320599051047
Cr_2,-0.0020083075381529553
Cr_3,-0.02648737825187813
Cr_4,-0.04018533417627772
Cr_5,-0.04924794299058941
Cr_6,-0.05243497848603719
Fe_1,-0.011609478390725996
Fe_2,-0.023340131192645632
Fe_3,-0.03899890644253652
Fe_4,-0.05536232511054415
Fe_5,-0.06683462581239041
Fe_6,-0.07809374481014013
Cd_1,-0.010570294079290313
Cd_2,-0.021832091428216384
Cd_3,-0.02697205924726334
Cd_4,-0.02887525548417508
Cd_5,-0.028969472554742075
Cd_6,-0.020393430330520428
Zn_1,-0.005632339488333461
Zn_2,-0.0016595654916558755
Zn_3,0.011300101882782916
Zn_4,0.026308812233393826
Zn_5,0.037009806208850665
Zn_6,0.049639949961634684
Cu_1,0.00022900253942617104
Cu_2,-0.000467959925116138
Cu_3,0.0010426144929255351
Cu_4,0.00313916973370495
Cu_5,0.00892886485137553
Cu_6,0.015687150779312275
Pb_1,0.00681162527599588
Pb_2,0.012245666962721693
Pb_3,0.01813837640240455
Pb_4,0.025323048891359785
Pb_5,0.03427314431395071
Pb_6,0.040511488238267016
