,ygjI
Cr_1,0.0024365637267847497
Cr_2,0.004920873575682284
Cr_3,0.009636960842586691
Cr_4,0.009688035336733763
Cr_5,0.009976849944327723
Cr_6,0.012680174106290637
Fe_1,-0.004060327007759802
Fe_2,-0.00481512897427101
Fe_3,-0.004112656619815528
Fe_4,0.0020555492970910577
Fe_5,0.018728672260917463
Fe_6,0.038765694780315975
Cd_1,0.006593286715905314
Cd_2,0.014864006482882375
Cd_3,0.02516503475506941
Cd_4,0.032749344854397365
Cd_5,0.03223328634233056
Cd_6,0.037443443914377816
Zn_1,0.0008197714614548449
Zn_2,0.015489427596278376
Zn_3,0.037898893494618315
Zn_4,0.06355457450992066
Zn_5,0.07981301301353959
Zn_6,0.09459256557956178
Cu_1,0.00179553069889332
Cu_2,0.005483559928966593
Cu_3,0.007993135855224244
Cu_4,0.008720500749393095
Cu_5,0.014658717069027856
Cu_6,0.015033890512119147
Pb_1,-0.006000098092878112
Pb_2,-0.010382413399220431
Pb_3,-0.014332751424373466
Pb_4,-0.015084772736042844
Pb_5,-0.014182634112056553
Pb_6,-0.01859957002692479
