,ycgH
Cr_1,-0.0013444631704882016
Cr_2,0.003988673695894303
Cr_3,0.01052965172409315
Cr_4,0.017473105271755506
Cr_5,0.014853328826303375
Cr_6,0.016242746704449064
Fe_1,-0.013437503776161779
Fe_2,-0.033139249005980635
Fe_3,-0.04685222924248765
Fe_4,-0.061908161246900316
Fe_5,-0.06471642068232286
Fe_6,-0.06475620578264876
Cd_1,-0.0011816555466823626
Cd_2,0.002862892285758347
Cd_3,0.005913950938703811
Cd_4,0.008028965116974216
Cd_5,0.00482661963221028
Cd_6,0.007224982172113748
Zn_1,-0.008095711957671245
Zn_2,-0.011541304220381243
Zn_3,0.003688260973706529
Zn_4,0.01806564203892818
Zn_5,0.03633055952186553
Zn_6,0.0545703327249002
Cu_1,0.006689536850515816
Cu_2,0.012261839429804524
Cu_3,0.016479345532257487
Cu_4,0.01731120601809205
Cu_5,0.019742910739577863
Cu_6,0.023908642722179102
Pb_1,-0.008180217626414805
Pb_2,-0.012344398279661805
Pb_3,-0.018583213479892103
Pb_4,-0.009888676408070665
Pb_5,-0.0071118130671027685
Pb_6,0.0021770613718121233
