,relA
Cr_1,0.010130212751309176
Cr_2,0.008336449342101915
Cr_3,0.013956634045400821
Cr_4,0.01709563000321446
Cr_5,0.01644106873917634
Cr_6,0.020863447356397648
Fe_1,-0.008736024436215956
Fe_2,-0.02704309068631449
Fe_3,-0.05070929599102575
Fe_4,-0.08915607509473182
Fe_5,-0.1264361706372262
Fe_6,-0.14466730019827945
Cd_1,0.004062722170319353
Cd_2,0.008230411637749312
Cd_3,0.009309010705141596
Cd_4,0.011299865862370464
Cd_5,0.007030754079437412
Cd_6,0.005645880586600022
Zn_1,-0.00390263868994569
Zn_2,-0.008375048254917495
Zn_3,-0.010218945453479254
Zn_4,-0.002113690678884004
Zn_5,0.009439641521946752
Zn_6,0.01138660798239045
Cu_1,-4.8200029686159997e-05
Cu_2,-0.0043223813903930175
Cu_3,-0.002889170129567567
Cu_4,0.0035912612313192733
Cu_5,0.005877078427714791
Cu_6,0.010688481815174056
Pb_1,0.007603892714409462
Pb_2,0.005179826280212365
Pb_3,0.004965311979958686
Pb_4,0.010485745614133459
Pb_5,0.016098019390131526
Pb_6,0.007766085397648084
