,frlA
Cr_1,0.010063789861423582
Cr_2,0.0134261827871358
Cr_3,0.01272336816418868
Cr_4,0.013308147003675377
Cr_5,0.013768480964007151
Cr_6,0.009953347690958195
Fe_1,0.005211196860305958
Fe_2,0.021526900050665963
Fe_3,0.04320029940951738
Fe_4,0.058424256337176884
Fe_5,0.07225283318749481
Fe_6,0.06864721067701206
Cd_1,0.005431086063011997
Cd_2,0.015133169358155887
Cd_3,0.025649153292653784
Cd_4,0.029259886681473
Cd_5,0.026323864055024786
Cd_6,0.03358105830132683
Zn_1,0.028482173309139526
Zn_2,0.07008744254104396
Zn_3,0.09974565878202966
Zn_4,0.10861219762637113
Zn_5,0.10161947202410096
Zn_6,0.08516936282419155
Cu_1,0.021001552914486542
Cu_2,0.034101694600844897
Cu_3,0.04595649295204507
Cu_4,0.06121787626049585
Cu_5,0.0725590646968115
Cu_6,0.07932406981455868
Pb_1,0.08830177784286604
Pb_2,0.09842198695419352
Pb_3,0.04202930959916494
Pb_4,-0.060747976460575635
Pb_5,-0.11735419301263822
Pb_6,-0.17716796690259448
