,uspG
Cr_1,0.003456126552877889
Cr_2,0.004265038787107397
Cr_3,0.008360252526360273
Cr_4,0.01378791889861652
Cr_5,0.017986324322286102
Cr_6,0.021588298410026945
Fe_1,-0.004735216607491434
Fe_2,-0.013764431647475385
Fe_3,-0.01516868624908413
Fe_4,-0.017757613188076872
Fe_5,-0.020968377618769195
Fe_6,-0.019294500697058337
Cd_1,-0.016400507294743957
Cd_2,-0.029834684091980507
Cd_3,-0.0410088417321968
Cd_4,-0.045179946571324285
Cd_5,-0.05206565040313474
Cd_6,-0.05064984973156392
Zn_1,0.003020403220415982
Zn_2,0.004950267955551955
Zn_3,0.011626920572657174
Zn_4,0.01744273818687186
Zn_5,0.02118021583384639
Zn_6,0.02306303862956541
Cu_1,-0.0011894846916923462
Cu_2,-0.002013118706998226
Cu_3,-0.0010310203233570053
Cu_4,-0.003511490615374973
Cu_5,-0.010374690708655836
Cu_6,-0.017254485334716067
Pb_1,0.007596599954385237
Pb_2,0.015432932528407587
Pb_3,0.025446187843132958
Pb_4,0.033940329831899145
Pb_5,0.04525864686346655
Pb_6,0.058818079154539335
