,ddlA
Cr_1,-0.0008011456647263204
Cr_2,0.0005486922082335546
Cr_3,0.0027161564855824856
Cr_4,0.003988488910955057
Cr_5,0.003986698525580542
Cr_6,3.194734676709973e-05
Fe_1,-0.004144002174192376
Fe_2,-0.01758194680723712
Fe_3,-0.04326836981621651
Fe_4,-0.07336994554151753
Fe_5,-0.09122941550262084
Fe_6,-0.09886246801777644
Cd_1,5.8496720306227245e-05
Cd_2,0.0027966245275219924
Cd_3,0.004691921657535423
Cd_4,0.006545007817007982
Cd_5,0.0032749016987756807
Cd_6,0.005446306244705999
Zn_1,-0.003323563682538566
Zn_2,-0.012352243569789444
Zn_3,-0.009645997788715294
Zn_4,-0.004185695567640996
Zn_5,0.003393344748130105
Zn_6,0.01712699608841891
Cu_1,0.0027515544375737136
Cu_2,0.005595660103142443
Cu_3,0.012895529774971187
Cu_4,0.02003598535340185
Cu_5,0.02997549349034042
Cu_6,0.03739376008601596
Pb_1,0.0011829514648325945
Pb_2,0.0028207477732409302
Pb_3,0.0034292205142173273
Pb_4,0.004078855307167946
Pb_5,0.007133807792009748
Pb_6,0.010322472313532888
