,pldA
Cr_1,0.0005998763367520872
Cr_2,0.002417357464913441
Cr_3,0.005784275703204795
Cr_4,0.01069059836700135
Cr_5,0.017378338284294324
Cr_6,0.018934227094102286
Fe_1,-0.007497839666990881
Fe_2,-0.02048518733155836
Fe_3,-0.03147567459673155
Fe_4,-0.042377487013267184
Fe_5,-0.047478231822326064
Fe_6,-0.046480113377112886
Cd_1,0.0013856705195008725
Cd_2,0.004934002236472425
Cd_3,0.007798472668203949
Cd_4,0.012102856233047072
Cd_5,0.008500665705296437
Cd_6,0.010969554222368718
Zn_1,0.00014470921187439176
Zn_2,0.0021675195074511047
Zn_3,0.013532157089692569
Zn_4,0.027377718455095644
Zn_5,0.04111040782868781
Zn_6,0.05145793102419991
Cu_1,0.00235175649329397
Cu_2,0.003959674244169907
Cu_3,0.008774311177663653
Cu_4,0.011966222426998057
Cu_5,0.01593322395310399
Cu_6,0.02381587014585561
Pb_1,0.005165730368271814
Pb_2,0.014295690468211298
Pb_3,0.028024461515907314
Pb_4,0.03618931548431823
Pb_5,0.04527130266249427
Pb_6,0.057081317930689185
