locus,gene_weight,gene_name,gene_product,cog,regulator,link
PSPTO_2451,0.21955726080000001,soxD-2,sarcosine oxidase subunit delta,Amino acid transport and metabolism,,
PSPTO_2454,0.1965808229,purU,formyltetrahydrofolate deformylase,Nucleotide transport and metabolism,,
PSPTO_2452,0.1794652378,soxB-2,FAD-dependent oxidoreductase,Amino acid transport and metabolism,,
PSPTO_2453,0.17712729430000002,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,Nucleotide transport and metabolism,,
PSPTO_2449,0.15431525100000001,soxG-2,sarcosine oxidase,Amino acid transport and metabolism,,
PSPTO_2450,0.1473542135,soxA-2,(2Fe-2S)-binding protein,Amino acid transport and metabolism,,
PSPTO_3077,0.1304972632,PSPTO_3077,alkene reductase,Energy production and conversion,,
PSPTO_3078,0.1098633477,PSPTO_3078,nuclear transport factor 2 family protein,Function unknown,,
PSPTO_4204,0.08886238340000001,PSPTO_4204,amidase,"Translation, ribosomal structure and biogenesis",,
