,-0.09272218605170476,-0.046361093025852375,1.3877787807814457e-17,0.046361093025852396,0.09272218605170479,0.1390832790775572,0.18544437210340955,0.23180546512926195,0.2781665581551144,0.3245276511809667,0.37088874420681917,0.4172498372326715,0.46361093025852385,0.5099720232843763,0.5563331163102286,0.6026942093360811,0.6490553023619334,0.6954163953877858,0.7417774884136382,0.7881385814394906
thresh,-0.06954163953877858,0.06954163953877858,1,,,,,,,,,,,,,,,,,
unreg,2,60,5436,69,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
unreg_genes,['nosZ' 'PA0225'],[],[],[],['hpcC' 'PA4121' 'PA4122'],[],[],[],[],[],[],[],['PA0223'],['PA0224'],[],[],[],[],[],[]
