sample,new_1278946_1279513_c
LBexp_1,7.2852
LBexp_2,7.4057
LBexp_3,7.5748
LBtran_1,7.2011
LBtran_2,6.9804
LBtran_3,7.1591
LBstat_1,8.2571
LBstat_2,8.4241
LBstat_3,8.2323
LBGexp_1,7.7422
LBGexp_2,7.0343
LBGexp_3,7.3896
LBGtran_2,7.5835
LBGtran_3,7.5428
LBGstat_1,7.6091
LBGstat_2,7.4272
LBGstat_3,7.8307
S0_1,8.5457
S0_2,8.5934
S0_3,8.7636
S1_1,7.8657
S1_2,7.6951
S1_3,7.6334
S2_1,11.0557
S2_2,9.8446
S2_3,9.8544
S3_1,10.1135
S3_2,8.4254
S4_1,10.0304
S4_2,10.1802
S4_3,9.1687
S5_1,10.918
S5_2,10.9719
S5_3,11.0577
S6_1,12.13
S6_2,8.2321
S6_3,11.9752
S6/t_1,11.7755
S6/t_2,7.9468
S6_4,10.8223
S6_5,11.3888
S6_6,11.2335
S7_4,10.9552
S7_5,10.7419
S7_6,10.9872
S8_4,10.7076
S8_5,10.2257
G135_1,8.0278
G135_3,7.7063
G150_1,7.7317
G150_2,7.6752
G150_3,7.9049
G180_1,7.5889
G180_2,7.3459
G180_3,7.3206
C30_1,9.643
C30_2,9.6114
C90_1,8.6977
C90_2,6.8441
BI_1,9.1214
BI_2,8.9202
BC_2,9.1095
BC/t_1,8.7911
BC/t_2,9.6749
BC_1,8.7785
Sw_1,6.9227
Sw_2,7.3244
BT_1,8.7927
BT_2,8.3844
B36_1,8.9832
B36_2,9.6162
B60_1,9.0881
B60_2,10.1503
M9exp_1,8.5126
M9exp_2,8.4613
M9exp_3,8.3114
M9tran_1,10.1453
M9tran_2,10.6599
M9tran_3,9.1616
M9stat_1,8.3239
M9stat_2,8.3268
M9stat_3,7.9979
M+G_1,10.0007
M+G_2,10.165
M+G_3,9.7373
Glu_1,8.9683
Glu_2,9.1638
Glu_3,8.3026
Fru_1,7.8806
Fru_2,8.9794
Fru_3,8.3615
Mal_1,8.2199
Mal_2,10.1767
Mal_3,9.1363
G+S_2,9.1339
G+S_3,9.8184
Pyr_1,9.5235
Pyr_2,10.3409
Pyr_3,10.4678
Gly_1,7.882999999999999
Gly_2,7.8463
