,fkpB
Cr_1,0.002735813954909393
Cr_2,0.008073824467910544
Cr_3,0.015775249845514868
Cr_4,0.02924414778283982
Cr_5,0.04001606727328163
Cr_6,0.04554535721061405
Fe_1,-0.002468569617275516
Fe_2,0.0013195084826422895
Fe_3,0.014600890545266712
Fe_4,0.01463713920550901
Fe_5,0.011469183785933609
Fe_6,0.005851336476883211
Cd_1,0.00970562428718917
Cd_2,0.02060508322840391
Cd_3,0.029257646136884894
Cd_4,0.03854842807283575
Cd_5,0.04264953584565208
Cd_6,0.04921040083211289
Zn_1,-0.008409264230208845
Zn_2,-0.012530212538514171
Zn_3,-0.010224931469861271
Zn_4,-0.0002875448536768215
Zn_5,0.007473512582427896
Zn_6,0.013543124898189828
Cu_1,-0.0006796174374837601
Cu_2,0.0026095660083275954
Cu_3,0.010268261082235634
Cu_4,0.0186094148920402
Cu_5,0.02585177466700545
Cu_6,0.033075549688759316
Pb_1,0.0010045967594494401
Pb_2,-0.002280719771094097
Pb_3,-0.0016375134176603756
Pb_4,-0.0032990274285843385
Pb_5,0.0020582108057495218
Pb_6,0.011440724386570764
