,A,BetI,ArcA,Cra
R2,,0.6867129391829625,0.07764519505766987,0.005784556618631753
xmin,,-4.281645871,-3.6017898952,-7.2746930645
xmid,,,-0.041886690766675366,-0.9336501053349897
xmax,,4.7377670164,3.7109145168,2.4360738119
ystart,,-6.869346253176999,0.4134120532375499,0.26963197474758716
yend,,8.188353941994457,-4.276055306215701,-1.015600706728546
aat__00m_00s__1,0.2770427257,-0.4641899601,0.1536251284,0.062006051900000005
aat__00m_30s__1,0.21799978250000002,0.2398673378,-0.1085541986,-0.1314214465
aat__01m_00s__1,1.7686804744,1.7351588054,-0.269085791,0.0314530619
aat__02m_00s__1,6.6523860579,3.7395016629,0.0131235692,-0.1295274102
aat__05m_00s__1,11.0559884446,4.5213900307,0.26443002660000003,-0.2247240932
aat__10m_00s__1,9.994295277300001,4.0171863772,-0.1415413156,-0.7116227439
aat__00m_00s__2,-0.3640125066,0.23704548790000002,-0.1227035083,-0.1377842684
aat__00m_30s__2,1.3951847223,1.136001107,-0.4182880135,-0.0278778495
aat__01m_00s__2,4.1258356115,2.9802669112,-0.1456535487,-0.0861555941
aat__02m_00s__2,8.0554330207,4.4369207799,0.0864050615,-0.0825496888
aat__05m_00s__2,11.1483164871,4.6344058399,0.326354303,-0.0984813253
aat__10m_00s__2,9.6730298257,4.1111886823,0.2809830862,-0.48781484950000004
aat__00m_00s__3,0.0869697809,0.2271444723,-0.0309216201,0.07577821650000001
aat__00m_30s__3,-0.1660378362,0.2848625628,-0.0305290823,-0.0035574465000000003
aat__01m_00s__3,1.8021658443000002,1.7142616293000001,-0.30555163100000005,-0.16898320120000002
aat__02m_00s__3,6.2256523512,3.8618811823,0.0006214416,-0.3037351676
aat__05m_00s__3,10.2750130743,4.456299886,0.6068628834,-0.012594644700000001
aat__10m_00s__3,9.3396022964,4.0751057614,0.5516321501,-0.2651798535
abx_mega__dmso-2__1,-3.097132118,-0.2765929274,0.49107579710000004,0.7869246933
abx_mega__ery_dmso__1,3.0457066787000002,1.0587098074,-0.9538123343,-1.9643924144
abx_mega__nal_naoh__1,3.2279929294,1.5248450542,0.3631602573,0.2616035103
abx_mega__dmso-5__1,-0.26509037150000003,-0.56995013,-0.17749356630000002,0.0813911834
abx_mega__rif_dmso__1,-1.4760757871,0.10151987750000001,-0.2571254471,-1.1465008338
abx_mega__novo_h2o__1,0.9294388463000001,-0.848393673,-0.5795873771,-3.3721230493
abx_mega__rach_dmso__1,-0.5583030626000001,-1.2600131385,-0.6394832572,0.11221218470000001
abx_mega__metro_dmso__1,-0.9080240294,-1.0765462721,-0.5994008193,-1.3980611692
abx_mega__dmso-6__1,-0.5533390839,-0.5769535991,-0.8093510237,0.2467512605
abx_mega__chl_h2o__1,6.5587463698,1.8751994122000002,-1.223874242,-2.6432952439
abx_mega__cst_h2o__1,-0.0135718789,-0.8903526460000001,-0.20132201460000002,0.2581778823
abx_mega__tec_h2o__1,2.7724796992,0.6495248834,-0.38609345780000004,-0.0287932522
abx_mega__str_h2o__1,-0.8716121811,-0.0839294066,1.2331627263,0.6316982481
abx_mega__ctx_h2o__1,-1.3229320249,-1.3948712386,-0.4496263185,0.0781090031
abx_mega__nal_naoh__2,-0.7108170902000001,-0.3879324715,-0.5000365137,-0.4752620474
abx_mega__phos_h2o__1,-4.4587761740000005,-2.7939383764,-0.9224545732,0.4332073776
abx_mega__dmso-5__2,0.3933579298,0.0225850639,-0.31040230480000003,0.0325016821
abx_mega__polmyx_h2o__1,-0.6038886326,-0.4617336408,-0.1547312355,0.3834597617
abx_mega__h2o-8b__1,-0.42865551760000004,-1.0493081653,-0.7734435138,0.5965422085000001
abx_mega__h2o-6__1,-0.031600453300000005,-0.36825006460000004,-0.2452190206,0.1308253183
abx_mega__thio_dmso__1,1.6141469142,-0.4875479769,-0.6604458461,-0.8388425719
abx_mega__phos_h2o__2,-1.8536953376,-1.6436892542,-0.36638296740000004,0.6751682776
abx_mega__ctx_h2o__2,0.7830459859000001,-0.9031194699,-0.6634625427,0.9108492799000001
abx_mega__lzd_dmso__1,3.4024675823,0.9040755848,-0.7503258015000001,-1.1208930686
abx_mega__naoh-9__1,-0.41761700100000004,-0.9536801822000001,-0.1047583445,0.21406610210000002
abx_mega__dox_dmso__1,0.5804003587000001,-0.37384240950000003,-1.0523870943,-0.4068578344
abx_mega__phos_ethanol__1,-2.4187607788,-1.3143194774,-0.3908090648,0.44640647380000004
abx_mega__teix_dmso__1,2.1447654599,0.45270162420000004,-0.6588512144,0.045534809600000004
abx_mega__dmso-10__1,-1.3729503325,-0.9290026623000001,-0.796986874,0.6982458443
abx_mega__van_dmso__1,-1.7543673419,-0.6862485764,0.6215221205,-1.9874404964
abx_mega__ramo_h2o__1,1.2636070951,-0.16056612850000002,-0.7357496835,-0.38277561260000004
abx_mega__tec_h2o__2,0.4061624032,-0.7868336689000001,-0.8809856715000001,-0.5035923001
abx_mega__h2o-7__1,-1.1585711196,-1.0727124544,-0.332200824,1.0192005981
abx_mega__cro_h2o__1,0.0017907164,-1.2793630011000001,-0.7032624132,0.7719019076
abx_mega__tric_ethanol__1,1.4011721842,-0.1503408045,0.5471721956,-0.052083887700000005
abx_mega__nor_naoh__1,-0.0857840019,-0.1852537784,-0.6750352942000001,-0.2371284206
abx_mega__teix_dmso__2,-0.1399466117,-0.161233932,-0.7443126348,-0.0507022806
abx_mega__nal_naoh__3,-0.8931283311,-0.9403119558,-0.46151863260000003,-0.5041378015
abx_mega__novo_h2o__2,0.9335965406000001,-0.7496501269,-0.6557503914,-3.2518194953
abx_mega__dmso-10__2,-0.9696672332,-0.45283929840000003,-0.6482476939,0.5148069151
abx_mega__phos_h2o__3,-1.2487315212,-1.0253527081,-0.4793409832,0.2921819518
abx_mega__dmso-6__2,-1.6225806148,-0.6694446609,-0.5675396422,0.09906589140000001
abx_mega__rfp_ethanol__1,5.3950826586,1.9027772971,-0.034679769900000004,-0.9248653221
abx_mega__dmso-5__3,0.0329128843,-0.0277502414,-0.3525345714,0.0783119691
abx_mega__amyc-d_dmso__1,-0.0171515358,0.4592639478,-0.0338108436,-1.4474649046999999
abx_mega__sxt_dmso__1,-0.2471944674,-0.2967912626,-0.4064062229,0.24395055710000002
abx_mega__dmso-1__1,-3.7390239026,-1.5539422001,-0.40150323260000004,-0.0396580453
abx_mega__pen_h2o__1,-1.3389130847000001,-1.374231652,-0.4034077274,-0.444195335
abx_mega__dmso-10__3,-0.3001041743,-0.5802206561000001,-0.7157018740000001,0.6848183492000001
abx_mega__nal_naoh__4,-0.5028195253000001,-0.8412083469,-0.7166546285000001,-0.2074547953
abx_mega__cip_naoh__1,-1.5847847640000001,-1.3150886211000001,-0.5501377366,-0.3665347619
abx_mega__pen_h2o__2,-0.4972340179,-0.863700941,-0.3916451892,-0.3004042504
abx_mega__ery_dmso__2,2.1960083385,1.0072083488,-0.7050130261,-1.956959367
abx_mega__dmso-2__2,-0.3355387997,-0.1126630656,0.5643015045,1.1549827568
abx_mega__van_dmso__2,-1.9527154327,-0.6932941946000001,0.7962936861000001,-1.8424156250000001
abx_mega__h2o-1b__1,0.47324090950000003,-0.4755772579,-0.2826643938,-0.4115024249
abx_mega__ery_h2o__1,1.7160616498999999,-0.2929059323,-0.9324801713,-2.491041828
abx_mega__bacit_h2o__1,5.6192969654,1.7607647281,-0.7154435960000001,-0.21317231320000002
abx_mega__chl_h2o__2,4.6994492022,1.1420131795,-1.0549187552000001,-2.3858561979
abx_mega__str_h2o__2,-1.9725916698,-1.2699168186,1.2063663425,0.5017693683000001
abx_mega__rfp_ethanol__2,5.2961219746,2.3613600811,0.24705451250000002,-0.380546541
abx_mega__polmyx_h2o__2,-1.072836903,-1.3156591987000001,-0.8248140526000001,0.1581059554
abx_mega__tric_h2o__1,1.2953476276,1.0121091466,0.0642004802,1.0830491121999999
abx_mega__cip_naoh__2,0.6149312327,0.166991743,-0.6773202813,-0.282687005
abx_mega__novo_h2o__3,1.0079383664,-0.6996020008,-0.7345571464,-3.0070167331
abx_mega__bacit_dmso__1,1.6625613188,0.3360631107,-0.6457091890000001,-0.5811062264
abx_mega__gen_h2o__1,2.9081232611,2.448774641,0.9416705114,-0.6505409267000001
abx_mega__bacit_dmso__2,2.3347346724999998,0.9151145524000001,-0.5853874625000001,-0.38795174190000004
abx_mega__chl_dmso__1,5.3611447048,2.1238285962,-0.9406118542,-0.8694942068
abx_mega__bacit_h2o__2,1.473849929,0.216166732,-0.28599873,-1.0863040595
abx_mega__lvx_dmso__1,-1.9889116777,-1.4200913466,-0.6848857907,0.1716691594
abx_mega__bacit_h2o__3,3.3059971742,1.0752368428,-0.619184327,-0.29180052300000003
abx_mega__nor_naoh__2,0.9737641922,0.24663393390000002,-0.7077585323000001,-0.2578289723
abx_mega__amyc-d_dmso__2,0.0662934979,0.5967610294,-0.3164502813,-1.1029578843
abx_mega__polmyx_h2o__3,4.3241604262,1.9446709001,0.6378008244000001,0.5883921036
