,-0.1012853226921971,-0.07596399201914783,-0.05064266134609856,-0.025321330673049286,-1.3877787807814457e-17,0.025321330673049244,0.05064266134609853,0.07596399201914782,0.10128532269219707,0.12660665336524635,0.1519279840382956,0.17724931471134492,0.20257064538439418,0.22789197605744343,0.25321330673049275,0.278534637403542,0.30385596807659127,0.3291772987496405,0.3544986294226898,0.3798199600957391
thresh,-0.11394598802872175,0.11394598802872175,5,,,,,,,,,,,,,,,,,
unreg,0,2,15,451,3015,424,16,0,0,1,0,0,0,0,0,0,0,0,0,0
ArcA,0,0,2,29,146,27,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Cra,0,1,0,7,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and Cra,0,0,0,1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, BetI, and Cra",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['ykgH'],[],[],[],[],[],[],[],[],[],[]
ArcA_genes,[],[],['fadL' 'gadE'],"['ackA' 'thrA' 'argR' 'ompW' 'focA' 'hyaE' 'sucC' 'sucD' 'appY' 'glcD'
 'igaA' 'pflB' 'hybF' 'yeiQ' 'fumC' 'citG' 'rstA' 'cycA' 'gatZ' 'xylR'
 'citD' 'dsbB' 'fadD' 'rutE' 'cydC' 'glpC' 'phoH' 'dctA' 'hybG']","['cadA' 'sstT' 'rutF' 'xthA' 'ymjE' 'puuB' 'fadH' 'puuE' 'nuoI' 'hybD'
 'yfiF' 'nuoJ' 'carA' 'rmf' 'gatY' 'hybB' 'gatA' 'fnr' 'nuoH' 'ydeA'
 'pncB' 'hyaF' 'manA' 'acpP' 'hyaC' 'fumA' 'putP' 'cydD' 'nupC' 'sdhD'
 'sucB' 'tpx' 'ydgC' 'rho' 'dcuA' 'cadB' 'nuoG' 'hybC' 'pepN' 'nuoL'
 'osmY' 'dppA' 'ybdN' 'glcB' 'hyaA' 'grcA' 'kdpA' 'hyaB' 'hyaD' 'pntA'
 'nuoE' 'rplP' 'sodA' 'rpsQ' 'yhjE' 'thiC' 'caiB' 'glcE' 'rplB' 'ybfA'
 'yhgE' 'citE' 'ndh' 'ybiU' 'caiE' 'ynaJ' 'glpE' 'ptsG' 'oppB' 'citC'
 'rsd' 'rutC' 'msrB' 'csiD' 'arcA' 'sthA' 'oppA' 'ssb' 'glpB' 'ypdA'
 'rutG' 'fadE' 'puuC' 'puuP' 'sdhC' 'rpsC' 'treC' 'treB' 'rpmC' 'caiC'
 'pldA' 'yejG' 'rhaT' 'rplV' 'nuoM' 'oppC' 'nuoK' 'nuoN' 'glpD' 'rpsS'
 'nuoF' 'rutD' 'yigI' 'nudE' 'fadB' 'glcA' 'rplD' 'gatC' 'nuoA' 'yncD'
 'glcG' 'yieE' 'fadI' 'hybE' 'oppF' 'caiD' 'gatB' 'potF' 'folE' 'sucA'
 'uvrA' 'ubiC' 'puuR' 'kgtP' 'dpiB' 'prfA' 'rplC' 'oppD' 'mdh' 'citX'
 'appA' 'moeA' 'nuoC' 'prmC' 'rutA' 'rutB' 'fadA' 'argT' 'iraM' 'citF'
 'sdhA' 'moeB' 'sdhB' 'gadX' 'ndk' 'hemA']","['caiA' 'dpiA' 'rplW' 'aldA' 'puuD' 'caiT' 'hybA' 'glcF' 'rpoS' 'gatD'
 'gadA' 'nuoB' 'ubiA' 'hybO' 'appC' 'glpA' 'rpsJ' 'fadJ' 'yncE' 'puuA'
 'fumB' 'dcuB' 'feoA' 'appB' 'lldP' 'dcuC' 'gltA']",['lldR' 'lldD' 'putA'],['yjiR'],['mqo'],[],[],[],[],[],[],[],[],[],[],[]
Cra_genes,[],['zwf'],[],['adhE' 'csgD' 'prpB' 'mtlD' 'csgG' 'mtlA' 'fbaB'],"['ppc' 'hypF' 'csgF' 'nirB' 'ptsI' 'fruK' 'setA' 'yeaD' 'fruA' 'pfkA'
 'mpl' 'marB' 'poxB' 'pdhR' 'fbaA' 'prpE' 'ptsH' 'fruB' 'aroP' 'marA'
 'mtlR' 'gapA' 'epd' 'crr' 'nirD' 'pykF' 'prpC' 'yibQ' 'pck' 'pgk' 'sgrT'
 'ppsA' 'cysG' 'eno' 'manX' 'tpiA' 'eda' 'marR' 'envC' 'gpmM' 'manY'
 'prpD' 'nirC']",['manZ' 'crp' 'glk' 'edd' 'csgE' 'pdeL'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ArcA and Cra_genes,[],[],[],['cyoD'],"['cyoE' 'cydA' 'acnA' 'cydB' 'cyoC' 'cyoB' 'cyoA' 'glcC' 'lpd' 'icd'
 'aceB']",['aceA' 'aceK' 'aceE' 'aceF' 'acnB'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"ArcA, BetI, and Cra_genes",[],[],[],[],[],[],[],[],[],[],[],[],[],['betT'],[],['betA'],['betB' 'betI'],[],[],[]
