,A,CsgD,MlrA,ihfB,FliZ,CpxR,hns,MqsA,RstA,BtsR,OmpR,BasR,rcsB,Crp,RcdA,Cra
pressure__high_pressure__1,-0.6321956709000001,-0.3121145449,-0.0672715359,-0.0463168558,0.1494594121,-0.34374438,0.1648380756,-0.36947213570000004,-0.3136625208,-0.195714199,-0.7059476946000001,-0.9516745241000001,-0.3227464872,-0.49159209540000004,-0.47092945810000003,-0.9341963907
pressure__high_pressure__2,-2.0246207564,-0.8002741613000001,-0.7702575807,-0.1397976692,1.0313208573,-0.23799523320000002,0.1402894271,-0.2648432797,0.2766898997,-0.43371540280000004,-0.4493604961,-0.7185276453,-0.1638756513,-0.2902563631,-0.3949937499,-0.6946366380000001
pressure__low_pressure__1,-0.0666008747,-0.2231058636,0.26817608870000004,0.1255194803,0.4408485761,-0.0466259818,-0.062029682700000005,-0.2160592301,0.2175310587,0.09483283170000001,-0.0052795268,0.0811421794,-0.0329931148,0.0011446948,-0.015699371400000002,0.0494950635
pressure__low_pressure__2,0.0666008747,0.2231058636,-0.26817608870000004,-0.1255194803,-0.4408485761,0.0466259818,0.062029682700000005,0.2160592301,-0.2175310587,-0.09483283170000001,0.0052795268,-0.0811421794,0.0329931148,-0.0011446948,0.015699371400000002,-0.0494950635
quantum_dots__ctrl__1,0.2432058178,-0.0279506007,0.426305154,0.014975651000000001,-0.2021202091,0.0227504236,-0.0676897412,-0.1716270775,0.3195269476,0.0942181205,-0.0035586571000000003,-0.1167868873,-0.0850627912,-0.1947450853,0.0104023243,0.0087537226
quantum_dots__ctrl__2,-0.2432058178,0.0279506007,-0.426305154,-0.014975651000000001,0.2021202091,-0.0227504236,0.0676897412,0.1716270775,-0.3195269476,-0.0942181205,0.0035586571000000003,0.1167868873,0.0850627912,0.1947450853,-0.0104023243,-0.0087537226
quantum_dots__cdte_light__1,0.11821363380000001,0.6489952023000001,0.8502243271000001,0.1079358901,-1.0723295547,0.1937052901,0.0058610623,1.7450134457000002,0.40808908110000003,-0.0401294645,0.1060255492,0.4021160298,0.156317801,0.25533424920000003,0.5880489204,0.1293266786
quantum_dots__cdte_light__2,-0.3789062865,0.5821280066,0.20248399320000002,0.1775328618,-0.12577612330000001,0.1777448465,0.10185994030000001,2.658141065,-0.17969980060000001,-0.051212023100000004,0.4222870582,0.39304239020000004,0.1773900918,0.3336771074,0.6593251985,0.32173221420000003
quantum_dots__cdte_dark__1,0.1073843215,0.38397972340000003,0.6889825839,-0.0035074409,-1.2472647013,0.1447525507,0.0295967144,0.0674999755,0.219335667,-0.0209294062,-0.0295174331,0.3413806111,-0.1265384403,-0.19234211680000002,0.49395671160000004,0.0700890705
quantum_dots__cdte_dark__2,0.0041459827,0.34986318380000003,0.4203919772,0.3295633576,-0.5479985727000001,0.1638951529,-0.22990848930000002,0.46444242160000004,0.0840824894,0.0995988627,-0.1288834364,0.21241270850000002,-0.113239422,-0.21453890080000002,0.08591833680000001,-0.0141261187
quantum_dots__cdse_light__1,0.3390398779,0.09695722,-0.0187301536,-0.2629699505,-1.1485730364,0.057156976400000004,-0.2795002008,-0.4051794047,-0.0353709431,-0.2645082978,-0.29062765620000003,0.2006453585,-0.15587678770000002,-0.1725798192,0.08954765,0.1163143549
quantum_dots__cdse_light__2,0.0520396962,-0.0007253846,-0.24393202020000002,-0.0911446687,-0.9382673562,0.1705298794,-0.04626316,-0.0737440451,-0.3461569926,-0.10205751980000001,0.046926290100000004,0.3456594087,-0.1204147707,0.0807140303,0.1984921824,0.22271107610000002
