,A,CsgD,MlrA,ihfB,FliZ,CpxR,hns,MqsA,RstA,BtsR,OmpR,BasR,rcsB,Crp,RcdA,Cra
R2,,0.8454931269851074,0.17337464478821685,0.07250007601497,0.05385412617807328,0.0522055391443893,0.04854627557955704,0.04844979147862494,0.04148641073682113,0.01550044807944062,0.012877017416564107,0.012032714178888293,0.007540460638237323,0.006522337557485658,0.002701895821935585,0.0020885870093280134
xmin,,-6.009046678,-4.9410978423,-3.9178110457,-7.7701512291,-8.11516967,-11.2828757996,-6.165385294,-5.9272178941,-4.8343927655000005,-7.3287963615,-3.7883617059,-8.931931499000001,-9.852476477,-4.0903578907,-7.2746930645
xmid,,-3.498410799112899,-3.298562489359785,-0.8596885010388371,0.3130321808414869,-4.222468604031737,,,-2.9154416183306155,,0.6667761168204676,1.4423390138569432,,,0.22123205477755378,
xmax,,4.8901811673,4.1089131507,3.3245249795,7.4908694885,2.3778217705999998,2.8974495703,4.4904478919,3.6299699167,2.4500527738,3.1898666866,4.1957462421,1.9262978510000002,2.5388323397,2.3841165361,2.4360738119
ystart,,-7.148347308533804,-4.1742380718277055,-2.3613730478262847,-0.7897860114496185,-6.004483633536332,6.3305847116416505,-4.74491797983223,-3.1444400017516507,1.1070758832017948,-1.0460540015963622,-1.1071128265147308,-5.456569468915942,1.5419578561927163,-1.079779882273306,0.13030592509719718
yend,,9.321049917312132,3.3221228879072027,3.314994565974012,-4.307420322910881,1.874371834460032,-3.0867025908274117,1.3867902894383266,1.4065041622193823,-2.3452264085276715,-4.4797833521074795,-7.904731293005979,-0.20722543559656592,-1.8798410463628694,-2.4957775720395823,-1.6469448405867588
aat__00m_00s__1,-0.6448601837,0.0036177747,-0.3609784171,-0.1131958483,-0.43579520190000004,0.0371924006,-0.0832222629,0.14727635660000002,-0.1065412929,0.0700516098,0.2497692515,0.2367996392,0.0439989031,0.0344951212,-0.15113202350000002,0.062006051900000005
aat__00m_30s__1,-0.9462250442000001,0.2645701079,-0.1780758285,0.0772468121,-0.5382080575,-0.1167177905,-0.0215977273,0.1946279935,-0.3382476836,-0.4788101328,0.28065399900000004,0.1143877792,-0.0689313639,0.1435731223,-0.2440391829,-0.1314214465
aat__01m_00s__1,-1.9933053678000001,-0.38219790130000003,-0.16219079520000002,0.0671979825,-0.4823932846,-0.029000962,0.014475031800000001,0.1136950783,-0.4685047399,-0.1061334994,0.23529942180000002,0.11715970510000001,-0.0594392778,0.2534372822,0.0112971055,0.0314530619
aat__02m_00s__1,-1.1475900097,-0.050566325,-0.33859329250000003,-0.031233225400000002,-0.16600564140000001,0.0848096896,-0.069698208,0.2249834055,-0.4540567035,-0.8075155593000001,0.2356387398,0.115765952,-0.0892396179,0.283920339,-0.0823705893,-0.1295274102
aat__05m_00s__1,-0.6433328354,0.1646331933,-0.4088341719,0.0201842575,-0.10728578300000001,-0.0884970087,-0.28960489710000004,-0.0725631047,-0.5761337576000001,-1.1793496353,0.24470173650000002,0.0953267889,-0.0675196339,0.3175329239,-0.5199929130000001,-0.2247240932
aat__10m_00s__1,-1.9398222082,-0.5030838703,-0.33333204990000004,-0.1696861744,-0.5209684572000001,-0.2513995396,-0.2321548066,-0.484934252,-0.8876407873000001,-1.6697651891,0.040896054200000004,-0.1388090048,-0.1851855886,0.17602055360000002,-0.2464197442,-0.7116227439
aat__00m_00s__2,0.6634845384,0.3720119215,0.1900065975,0.030994294500000002,0.045775212100000004,0.0815287471,-0.0482583698,-0.042888028200000004,0.0111831345,-0.0465302806,-0.2747716412,-0.3908449242,-0.0015479150000000002,0.005256366,0.2634953686,-0.1377842684
aat__00m_30s__2,-1.8726643795000002,0.009007590900000001,-0.0983390138,0.0539088152,-0.5175268041000001,0.07859198910000001,-0.2218292502,-0.0887865867,-0.0422882116,-0.5814563656,0.093119,-0.08091621780000001,0.0691710462,0.2819816342,-0.1071387755,-0.0278778495
aat__01m_00s__2,-0.6486852219,0.27563954900000004,-0.3199854286,0.1097352022,-0.36882859300000004,0.0571983363,-0.0773807522,-0.0102344742,-0.3885250166,-0.2892000186,0.0729251304,0.09128027150000001,0.0444643333,0.2801678667,-0.33861537610000003,-0.0861555941
aat__02m_00s__2,-0.9899346837,0.2717081946,-0.4287738413,0.2340397233,-0.1727245725,0.0092045323,-0.0678102107,-0.21235285480000002,-0.22142635360000001,-1.1896768338,0.3581703524,-0.0626757948,-0.0030881652,0.4762089513,0.0052910423,-0.0825496888
aat__05m_00s__2,-1.0628951821000001,0.4618697452,0.0246142958,0.2579735379,-0.2567759103,-0.0070013234,-0.1422065635,-0.3040868084,-0.4173248084,-1.4589730563,0.4398804308,0.1872986761,0.0374448874,0.5370175003000001,-0.15435796670000002,-0.0984813253
aat__10m_00s__2,0.034031963900000003,1.2327634552,0.6189686128,0.5504911606,-0.7357566647,-0.12278870160000001,0.2490992528,-0.062221606000000006,-0.24671316670000001,-0.6791735209,0.600781589,0.2136605962,0.1627360479,0.5086233319,0.3982620734,-0.48781484950000004
aat__00m_00s__3,-0.0186243547,-0.37562969620000003,0.17097181960000002,0.0822015539,0.3900199898,-0.11872114760000001,0.13148063270000002,-0.10438832840000001,0.0953581584,-0.0235213292,0.0250023898,0.154045285,-0.0424509881,-0.039751487200000005,-0.112363345,0.07577821650000001
aat__00m_30s__3,-0.4082257177,0.2024676498,0.12537292860000002,0.4189166854,0.6252236095,-0.2152456738,0.2910135497,0.2070456939,0.112761254,-0.0418974086,0.1892559365,0.4514123151,0.0232434189,0.2905320638,0.39931101700000005,-0.0035574465000000003
aat__01m_00s__3,-0.29151141210000003,0.1759879541,-0.39698608350000003,0.2529822276,0.5601646057,-0.1562458411,0.1734109775,-0.1989368659,-0.40093944340000004,-0.1334661852,0.13355006560000002,0.2300552669,-0.0616001044,0.1859933018,-0.10527131740000001,-0.16898320120000002
aat__02m_00s__3,-0.046377465900000005,0.1541861963,-0.3425999672,0.39341672120000004,0.9582005801000001,-0.26473731030000003,0.28443055370000003,0.08343668900000001,-0.0818163986,-0.5792603294,0.0493795467,0.3980087547,0.021274030700000002,0.3699621097,-0.1070146555,-0.3037351676
aat__05m_00s__3,-0.28562320080000003,0.5315456418,-0.027857123100000002,0.2673414086,0.5336201420000001,-0.0212701091,0.0742654028,0.1353114956,-0.3780572097,-0.8632638662000001,0.252283246,0.3579994312,0.1997031051,0.5483756585,0.2756524517,-0.012594644700000001
aat__10m_00s__3,-0.0575450864,0.8214591691,0.6225905616,0.42329341260000003,0.18726486850000001,-0.067659326,0.23033813420000002,-0.0241507961,-0.3336706202,-1.0277746399,0.6175674846,0.2297442661,0.1142784181,0.50143841,0.1682897182,-0.2651798535
abx_mega__dmso-2__1,-6.3103221918,-3.8035863592,1.7567685972,2.297485246,1.0998712491,0.3803231496,-1.3295713452,-3.472359525,2.132057854,1.1952098580000001,0.5512269408,0.7401166791,-0.3748344724,-0.4516798918,0.0320048964,0.7869246933
abx_mega__ery_dmso__1,-1.4548432595,-0.7166257097000001,-1.8762856872,-1.5657193052,-0.9365060833000001,0.1729381065,0.6661338201,-0.8766951047,0.8425426812,-0.7211615586,0.19084988490000002,-1.2934819169,-0.4798374756,-1.8893970692000002,-0.3688850211,-1.9643924144
abx_mega__nal_naoh__1,0.9917264013,-1.7839696729,-0.9645351981,1.171465281,0.33206465820000003,0.2486438929,-1.732107911,-3.2847398755,-0.0789866759,-1.5473121841,-0.1662381186,0.7872892526,-0.8979488966,-0.1701238306,0.0046883540000000005,0.2616035103
abx_mega__dmso-5__1,0.214981828,0.5660622276,0.2960015332,0.294111116,0.2775806115,0.6349426454,0.16751679260000002,-0.8878215468,-0.0455818318,0.1713420471,0.17057843350000002,0.4337738551,0.16777988130000002,0.1340371706,-0.5646383293,0.0813911834
abx_mega__rif_dmso__1,1.4687561248,1.1056009732,0.6668859824000001,0.9331627303000001,-1.0805716956,0.0818792874,-0.3087090213,0.042080402100000004,0.0159616864,0.7431397091,0.3753594524,0.8879447647,-0.3408848131,-0.8477189713000001,0.1056946442,-1.1465008338
abx_mega__novo_h2o__1,-0.4661634461,-3.8035863592,-3.7000274468,-1.5948301920999999,-1.0142291483,-0.9578921612,-1.4290721084,-0.24461916020000002,-2.4356857935000003,-4.3030955613,-0.2004741858,-1.8914538543,-1.5423708553000002,0.1307715067,-0.3453081405,-3.3721230493
abx_mega__rach_dmso__1,-2.1467558325000002,-0.8583243878,-0.0083766617,-0.6969566792,-0.1238042664,0.2709099318,-0.1462527268,-2.1097225063,-0.1739964028,1.2199280589,-0.047666706600000004,0.13863780150000002,-0.2757990406,-0.2340068764,0.612189772,0.11221218470000001
abx_mega__metro_dmso__1,-0.8482313930000001,0.10108170200000001,0.1692637056,-0.24371025970000001,0.3529432879,0.4084372189,-0.641073463,-1.1623947962,0.047170197600000005,-0.0062496777,0.1902554142,0.3247744448,0.1627652157,-0.33700626310000004,-0.32827580100000003,-1.3980611692
abx_mega__dmso-6__1,-0.025778890500000002,0.7110959760000001,0.7333638049,0.3294536628,0.41633740340000003,0.5030222702,-0.0725217448,-1.4816478111,-0.0998582041,0.4137857106,0.2704939628,0.8014039586,0.035825386,-0.2857852433,-0.3702465185,0.2467512605
abx_mega__chl_h2o__1,0.9144655881,0.5695138550000001,-0.5292488267000001,-1.0253066066,-2.0176901103,-1.5241682389,0.4503702694,-0.24355072760000002,0.4004786978,-0.6151323395,-1.4364410385,-1.9361896806,-0.9490397289,-2.9247054987,-1.0926846204,-2.6432952439
abx_mega__cst_h2o__1,-0.4339557115,0.0055247115000000005,0.2847961808,-1.1929652783,-0.1070576275,0.2734839572,0.1739432252,-1.1394852386,-0.6360118316000001,0.5525335939,0.0831805821,0.37589207290000004,0.0344037304,0.0899715865,0.0417976133,0.2581778823
abx_mega__tec_h2o__1,-7.0317975973,-3.8035863592,0.0140320839,0.8805616572,-1.5965448491,0.5972433948,-0.6767263614,-4.8806604237,1.5709454196000001,-0.0287521611,0.9366768202,0.1702601521,0.3679546261,-1.6070723407,-0.2185697087,-0.0287932522
abx_mega__str_h2o__1,-5.4694796559,-3.8035863592,-0.0236385391,1.9132335694,0.0879048102,0.2530840492,-1.031702481,-4.5325662106,2.8842494487,0.2156652739,-0.0854510456,1.1518746032,-0.5018818561,-0.5390842036,0.1259458096,0.6316982481
abx_mega__ctx_h2o__1,-1.9239527332000002,-0.9338011531,-0.1530303904,-1.1279696429000001,0.4449621881,0.22629311430000001,0.14700628870000002,-1.5007533897,-0.4779727012,0.6582709825,-0.1833382698,0.0862757487,-0.3052663657,-0.0980165268,0.43718561710000003,0.0781090031
abx_mega__nal_naoh__2,-2.8464660369,-0.7812399146,-0.692738073,-0.9605612867000001,-0.0508016138,0.7164461946,-0.41701238430000004,-1.0785925141,-1.0818180166,-1.2749038909000001,0.0680341922,0.2082526174,0.027996525,0.2016373309,-0.09085359030000001,-0.4752620474
abx_mega__phos_h2o__1,-1.8304432668000001,-0.7979231229,-0.0138200228,-0.7856317823000001,-0.1496204877,0.0350990969,-0.1614027818,-2.0709162462,-0.5348584898000001,0.5871246601,-0.7069581067,-0.07926351990000001,0.1314202288,-0.2490351859,0.0057705441,0.4332073776
abx_mega__dmso-5__2,-0.07469437670000001,0.3805908327,-0.0787894539,0.10447339950000001,0.1473289956,0.5174468618,0.3006681781,-0.5369730129,0.179912227,-0.030457027900000003,0.3107996135,0.1844345137,0.1336637714,0.0411821817,-0.3512603653,0.0325016821
abx_mega__polmyx_h2o__1,-2.9245881419,-0.9281653360000001,1.1574419631,-1.1566112913,0.09207659160000001,0.2399229565,-0.0815327794,-1.7437810179,-0.4503968366,0.12663486570000002,0.38625837220000003,0.423710833,-0.2801840496,0.0231238538,0.44528040760000004,0.3834597617
abx_mega__h2o-8b__1,-0.5894153892,-0.32518759,0.13821872470000002,-0.5151260577,0.1460819966,0.4463179412,0.0328928135,-1.5656538389999999,-0.6350243661,0.29195646000000003,-0.0664744293,0.4500717185,0.1618935164,0.0476350313,0.4289285028,0.5965422085000001
abx_mega__h2o-6__1,-0.0522172983,-0.048975996300000005,0.8378273407,-0.3442757495,0.3555818577,-0.014249184100000001,-0.10642851340000001,-0.6736611848,-1.1301834167,0.5485380068,0.22516114,0.0750106127,0.099489143,0.24713669740000002,0.3446128791,0.1308253183
abx_mega__thio_dmso__1,-3.0407879489,-1.5763571868000001,-0.2401724741,-2.3813583609,-0.5201763776,-0.6917129164,0.6464433037,-1.2628421216,-1.1076233504,-0.1274922738,-0.6563530731,-0.5758972313,-0.7628962477,-1.5465123927,-1.2180140418,-0.8388425719
abx_mega__phos_h2o__2,-1.8329391617000002,-0.42855633120000003,0.2625862653,-1.0600417401,-0.3176717726,-0.0688117843,-0.0005954383,-1.5564130230000002,-1.342082752,0.1774086152,-0.0896789156,0.3716846398,-0.1558562265,0.2066153554,0.6025302901,0.6751682776
abx_mega__ctx_h2o__2,-5.5097814635999995,-1.9333589897999999,-0.3148663969,-2.7828060503,-0.5647734192,0.1167443107,-0.7840740106,-2.2993197586,-1.9824092318000002,0.0339749476,0.27857363300000004,0.0901618909,-0.6092416355,-0.5157335737000001,-0.3100768508,0.9108492799000001
abx_mega__lzd_dmso__1,-0.6839382819000001,0.0565813649,-0.6810194012,-0.938501404,-1.1278609141,-0.42171916940000004,0.7946358242,-0.705308487,-0.0771026467,0.1549543023,-0.7353871311,-1.1382148476,-0.4089830961,-1.8223907651,-0.6632698831,-1.1208930686
abx_mega__naoh-9__1,-3.4040661895,-0.9728672207000001,-0.0112896318,-1.1086632386,0.23303915960000002,0.5817872295000001,-0.3573271824,-2.543987443,-0.9111157552,0.6214450547,0.3609948972,0.2241432065,0.1682583024,0.36042412560000003,-0.0140709041,0.21406610210000002
abx_mega__dox_dmso__1,-1.9725307628,-0.60952588,-0.797272567,-1.5186830960000002,-0.0072231261,-0.37442498960000004,1.536242647,-1.8458442483000002,-1.0567289355,0.8466819384000001,0.0071867107000000005,-0.6733659782,0.0957641098,-1.3002511837,-1.1359346544,-0.4068578344
abx_mega__phos_ethanol__1,-2.4165603569,-0.0118639398,0.2905907848,-1.0835463994,0.3273532034,-0.2529812531,-0.206662584,-0.9570128985,-0.3012160151,0.5239453842,0.0655605725,0.11928270810000001,0.5898666498,0.3379205155,0.4363059218,0.44640647380000004
abx_mega__teix_dmso__1,-5.755818781,-2.7944500845,0.36703219340000004,-0.2108301915,-0.2306742386,0.26287335230000003,0.48643795360000003,-3.1299834814,0.1429211309,0.0352397448,-0.019153321100000002,0.2138507834,1.1120882177,-0.6834405493,-0.978277099,0.045534809600000004
abx_mega__dmso-10__1,-1.0355179095,-0.6859801606,0.9201759295,-1.1932094615,0.17316698690000001,0.1288200247,-0.5867027299,-1.5566246951,-1.0195103372,0.3399925689,0.1080997051,0.5478645535000001,0.2809527721,0.1656640608,-0.1385664163,0.6982458443
abx_mega__van_dmso__1,-1.8525147445,-1.4822714105,-0.7682491169,0.5828825608,-2.6751714517,0.36938965770000004,1.5495831874000001,2.0438545233,-0.5210982019,-0.3436333836,1.8100974600000002,-0.8810098355,-0.3795216605,-0.9934080376000001,-0.2903917511,-1.9874404964
abx_mega__ramo_h2o__1,-4.1646504639,-1.5524666292,-0.6212660364,-0.9701385051,-0.2608043259,0.5161979748000001,0.5062316505,-1.4506768609,0.2956639632,0.0688359942,-0.12353837790000001,-0.3191864075,0.6179042864000001,-0.3443110079,-0.7021417725,-0.38277561260000004
abx_mega__tec_h2o__2,-5.111341,-2.4677417141,-0.33897030980000004,-0.8524414069,-1.8003606527,0.5498769937,0.2590986018,-2.3362216381,-0.30894289410000003,0.2007547174,-0.21433275870000001,-0.5005513535,0.7060944812000001,-0.9407234058,-0.5494634591,-0.5035923001
abx_mega__h2o-7__1,-3.0554615971,-1.4908646234,0.24831095500000003,-1.405760481,0.16048060050000001,0.37430656700000003,0.0087843152,-2.421451936,-1.5030535392000002,0.25186020600000003,-0.09583014940000001,-0.054744292900000005,0.08572760010000001,-0.0040549861000000005,-0.5873511941,1.0192005981
abx_mega__cro_h2o__1,-3.6650782151,-2.1499572104,-0.1373291382,-2.0779262437,-0.1438582707,0.1344609497,-0.3992162387,-2.7946272728,-1.4342181692,-0.2193961465,-0.0601121022,0.2336997716,-0.1546573686,-0.1478341465,-0.0657135697,0.7719019076
abx_mega__tric_ethanol__1,-1.6394676682,-0.7610449290000001,1.9508669664,-0.1903310601,-0.6630811163,0.8879458575,0.8313039999,-1.3473008318,2.4504861092,0.0640592072,0.9240665007000001,0.3208006961,0.9019371941000001,-0.1558928562,-0.5424046285,-0.052083887700000005
abx_mega__nor_naoh__1,-0.2228280477,-0.0943918608,-0.4003772343,-1.0812140072,-0.31521110900000004,0.2342612036,-0.45174707410000003,-0.1085041362,-2.1687029076,-0.08896052530000001,0.0910367456,-0.0249301143,-0.1109667847,0.2764607147,0.4540050592,-0.2371284206
abx_mega__teix_dmso__2,-1.6879341781,-0.35097127170000003,-0.28449364600000004,-0.026524093000000002,-0.1951486474,0.3336056999,0.46102281510000004,-1.6545741869000001,-0.2122117167,0.3796666597,-0.0980784631,0.16926314050000002,-0.1200714722,-0.14661147630000002,0.4077839305,-0.0507022806
abx_mega__nal_naoh__3,-1.9656630865,-0.4406242094,-0.7788140616,-1.0022560843,-0.1328305091,0.6850361314,-0.39522827390000004,-1.0066814898,-1.7602781141000001,-0.3585003469,-0.057151718500000004,-0.0809966341,-0.0039707902,0.2201400917,0.1575911264,-0.5041378015
abx_mega__novo_h2o__2,-0.0851280878,-1.6884157783,-2.572087344,-1.7171008209,-1.1042332969,-0.8274027535,-1.3338308134,-0.31368041820000003,-1.7130062794,-1.9195215619,-0.1720156404,-2.3635700423,-1.5364974948999999,0.1874058842,-0.7363103934,-3.2518194953
abx_mega__dmso-10__2,-1.1273527732,-0.4184638712,0.4759501041,-0.8705550239000001,0.3267594695,0.2022706651,-0.43565160620000004,-1.4658331740000001,-0.5450963356,0.6527761181,0.10161821280000001,0.4746019462,0.2319356907,0.0513472187,-0.4317372933,0.5148069151
abx_mega__phos_h2o__3,-2.0759796725,-0.7793058811,0.0445498272,-0.6341559143000001,0.2702130949,0.1250893475,0.038069885000000005,-1.3690620973,-1.4282190873,0.2802305572,0.3218156103,0.2649149776,0.1380821586,0.3866879371,0.6865120036,0.2921819518
abx_mega__dmso-6__2,-0.11854167210000001,0.5234934216,0.6697849336,0.5477587571,0.1482371993,0.6371522945,-0.24636549170000002,-1.0710421336,0.0497557205,0.7713392254,-0.0033687667000000003,0.8269151807,0.0661430321,-0.0602559214,0.12041986910000001,0.09906589140000001
abx_mega__rfp_ethanol__1,1.5980207163,0.3772179222,-0.8502484424000001,-1.3179166312000001,-2.6768354223,-0.1137708053,-1.4046597106,1.0291049049,-1.9380878473,-1.3237590769,-0.5438908621,-0.8950385605000001,0.45632589970000004,-1.4743546362,-1.3736720930000001,-0.9248653221
abx_mega__dmso-5__3,-0.0372501591,0.31732973130000003,0.7705474805,-0.09633023900000001,0.4358965598,0.4611996713,0.0952690145,-1.0561146738,-0.1381357392,0.4034717899,0.2173257979,0.6475606257000001,0.1267694553,-0.13444608700000002,0.0376476314,0.0783119691
abx_mega__amyc-d_dmso__1,2.4445165771,2.046383611,0.27755158890000003,0.6487792296,-2.746146362,-0.0667186057,1.1708920348,0.5504917833,0.3090871632,0.0006078938,-0.0077695386000000005,-1.0864871665,0.26775146450000004,-1.621907484,-0.1722637286,-1.4474649046999999
abx_mega__sxt_dmso__1,-2.2803175226,-0.7625776861,0.6750795115,-1.398343179,-0.252829645,0.1419090221,-0.15364917820000001,-2.0817338942,-0.8267024914000001,-0.3953002141,-0.1402548023,-0.0488523067,0.1316869949,-0.0376343135,-1.1163401129,0.24395055710000002
abx_mega__dmso-1__1,-0.6019966589,0.0026493451,-0.32537306250000003,-0.0548211138,-0.1079124144,0.21193790140000002,-0.329062373,-0.7208638198,0.2789935827,0.13039881350000002,-0.2185436949,0.13297865350000002,-0.0819666434,-0.0810478849,-0.4279138283,-0.0396580453
abx_mega__pen_h2o__1,-1.3582017734,-0.6930830632,-0.8549650741,-0.4764255264,-0.3629657751,0.1041967579,0.6446787887000001,-1.044357493,-0.8279529087,0.1456882834,-0.5186667481,-0.2153444234,-0.0806030598,0.1296583874,0.2676256389,-0.444195335
abx_mega__dmso-10__3,-0.8373554799,-0.8736160716,1.4949961258,-0.9915859493,0.4447141267,0.21446118400000003,-0.499017776,-1.391969971,-0.5275624353,0.0966427308,0.291166345,0.22971110500000003,0.2005107907,0.2017965224,-0.8469443042,0.6848183492000001
abx_mega__nal_naoh__4,-1.8866897956000002,-0.7537422546,-0.376742057,-1.1529412139,-0.32778120850000003,0.7972941226,-0.4983299264,-1.5817347387,-1.5569332917,0.0451845051,-0.07297965590000001,0.1970450894,-0.2157227974,0.1490464558,0.0539367682,-0.2074547953
abx_mega__cip_naoh__1,-2.6579580674,-1.3039937645,-0.5540299705,-1.0626874924,-0.0565620826,0.6427368064,-0.9284528158,-1.7545767581,-1.5014531677,-0.1581216481,-0.0293658589,0.17285560900000002,-0.2464237398,0.2623448043,-0.04595657,-0.3665347619
abx_mega__pen_h2o__2,-2.4279446335,-1.4613857058,-0.8681429536,-0.9260874235000001,-0.4899465656,0.0037802532,0.4696265652,-1.2315229029,-0.6157726377,0.5217693358000001,-0.46615090750000004,-0.2767813252,-0.08702385110000001,-0.22631582460000002,0.020709139600000002,-0.3004042504
abx_mega__ery_dmso__2,-0.1568584412,0.4468004195,-0.32778134540000003,-1.3048554744,-1.4593836297,0.22796918230000002,0.8807592262,-0.1417468899,1.4129610226,0.0006819374,0.1872470703,-0.9251012340000001,-0.3642836417,-1.9945889461,-0.1239327442,-1.956959367
abx_mega__dmso-2__2,-4.0220757255,-3.8035863592,1.5952543749,2.186138402,0.5323671235,0.4951095104,-3.003918591,-3.3517465416,2.074615399,1.5182254342000001,0.3429906437,1.6057103897,-0.7496813320000001,-0.303318389,0.8414715616,1.1549827568
abx_mega__van_dmso__2,0.1206230981,-2.1900250866,-0.7518530183000001,0.9100277827000001,-2.9741860609,0.4302528044,2.0280958555,1.9869633794000001,0.7384028482,-0.8938892056000001,1.9570831285999999,-0.3643346955,-0.3576773421,-0.9213934478,-0.6538084844000001,-1.8424156250000001
abx_mega__h2o-1b__1,-1.2684408837,-1.1024250953,-0.3293559921,-0.8877531976,-1.0840693405,0.1461998007,0.1282549919,-1.1357471271,-1.2462604565,0.0187406149,-0.0992725347,-0.2411318002,-0.0021741662,-0.5542551321,-0.42597859450000003,-0.4115024249
abx_mega__ery_h2o__1,-0.8253898429000001,-0.4957724546,-1.1473244161,-1.5251338072,-1.3295676825,-1.2008334368,1.4273784088,-1.1474414964,-0.250059228,0.2186529367,-1.2509443371,-1.7187607079,-1.2812399401999999,-2.4371824129,-0.9017946871,-2.491041828
abx_mega__bacit_h2o__1,-5.1300791734,-2.4043351032,-0.7371674042,-1.4504833334,-1.4973665918,0.2660047775,0.3338719368,-2.4602194817000003,0.22044111630000002,-1.4612017337,0.8148138873,-0.8127804173000001,0.5601854118,-0.6975730314,-1.0883135716,-0.21317231320000002
abx_mega__chl_h2o__2,0.8426866951,0.34460963370000003,-0.5666444873,-1.2200697843000001,-2.0924181973,-1.5169624899,0.5479911068000001,0.09210070020000001,0.18987510500000002,-0.29164055640000003,-1.2449311335,-2.0391746212,-0.9914578036,-2.788252041,-1.2602127742,-2.3858561979
abx_mega__str_h2o__2,-4.9468609834,-2.1156277592,1.466349751,1.7775761065,-0.37825171300000004,0.5807647243,-1.8298625141,-3.2845167462,2.5601124663,0.8047754129,-0.0962815137,1.2556775301,-0.9253773778000001,-0.46271994780000003,0.7809979794,0.5017693683000001
abx_mega__rfp_ethanol__2,1.698524608,-2.3129867217,1.8753805744,-1.2855187251,-2.8434470724,-0.23835781420000002,-1.2640210537,0.8674570588,-5.0187602837,-0.6643086156,-0.2874409584,-0.6603288302,0.6704905679000001,-1.0117169578,0.2787963844,-0.380546541
abx_mega__polmyx_h2o__2,-1.0958273385,-0.7284323071000001,0.009692369000000001,-0.8769879084000001,-0.3489597146,0.06999049830000001,-0.21223886720000001,-1.3253459624000001,-0.7447944327,0.2173089545,-0.1763697091,0.4492269236,-0.23569314730000002,-0.1729404675,0.2566691436,0.1581059554
abx_mega__tric_h2o__1,-1.4131815368,1.0797717597,1.9274713622,-1.2793691829,-0.5268356839,0.3969217732,0.33937007880000003,0.509594658,2.0477055099,-0.2389884068,0.577579982,0.49315249250000004,1.1306416889,0.2138522692,0.18116082760000002,1.0830491121999999
abx_mega__cip_naoh__2,-0.36717107800000004,-0.0984657592,-0.3425754362,-1.080054735,-0.1121606861,0.3839472142,-0.2648527613,-0.2849678111,-1.5086489608,-0.2154330664,0.23088318200000002,0.1757277717,-0.25458663460000003,0.22403181360000002,0.6472647653,-0.282687005
abx_mega__novo_h2o__3,-0.341377676,-1.7047539075,-2.5125005289,-1.4207421173,-1.0577932562,-0.9429622161000001,-1.6065648687,0.025440755000000002,-2.3035759548,-2.6130322058,-0.5088942688,-1.9167950763000001,-1.7957966427,-0.09237995040000001,-0.6175692752,-3.0070167331
abx_mega__bacit_dmso__1,-1.7420004226999999,-0.4301593496,-0.0933046908,-0.36320266970000004,-0.2983050313,0.6074640797,0.7920205793,-1.0398510476,1.287390037,0.33769443790000003,0.1448217691,0.1156419515,-0.0680506525,-0.38942819040000004,0.6243659646,-0.5811062264
abx_mega__gen_h2o__1,-4.5365111824,-3.0953916814,1.2081569149,3.0734252999,-2.1761582209,1.8596698893,1.4962296247,-1.7179605222,3.0643491335,-0.8400084891,0.9170945834,0.6854003288,-0.4553802012,-1.1362642293,0.6745141587,-0.6505409267000001
abx_mega__bacit_dmso__2,-1.2652963228,-0.09917364050000001,-0.0618602672,-0.1474923579,-0.5924370210000001,0.6708217417,0.8860898538,-0.6522614492000001,1.5300933615,0.644728084,0.19580065430000002,0.3098126341,0.07888017680000001,-0.41342659340000004,0.7792449047000001,-0.38795174190000004
abx_mega__chl_dmso__1,-1.1272152521,-0.6997080999,-0.6657244875,-0.8603384773,-2.3100390593,1.3957326331,1.1582991603,-0.5663200649,1.7944854185999999,-0.7902886725,1.0530169996,-1.0008557985,-0.0680372408,-1.6036324816,-1.100405686,-0.8694942068
abx_mega__bacit_h2o__2,-3.8069357668,-1.8716278891,-1.1777936853,0.0810143052,-1.2226803148,0.3179212409,1.0332693507,-2.0400925381,1.2625413381000001,-0.6877376949,0.15480531490000002,-0.7953768587000001,0.7528630789,-0.5104274184,-1.1485278532,-1.0863040595
abx_mega__lvx_dmso__1,-1.8684115986,-0.9304748568000001,-0.2199251666,-0.8766338815,-0.2985328256,0.4080035117,-0.5443186423,-2.0194114614,-0.3661731702,0.7864775352000001,0.1806672342,0.5387257345,-0.21356526580000001,-0.1584196907,0.1543880552,0.1716691594
abx_mega__bacit_h2o__3,-5.0484682935,-2.000114135,-0.35848946530000003,-1.0401998064,-1.1666394743,0.3187331281,0.2748227025,-2.2926596224,0.39606394030000003,-1.0635955538,0.4383871084,-0.7334826952,0.6668600963,-0.6589226995,-1.678413729,-0.29180052300000003
abx_mega__nor_naoh__2,0.9192387638,0.27059285040000003,-0.1088605645,-1.1131732022,-0.2058305195,0.2396575336,-0.4196697263,-0.0865387304,-2.2923744729,-0.0568804927,0.1448474444,0.1112268762,-0.2048977561,0.1764471632,0.8207003872,-0.2578289723
abx_mega__amyc-d_dmso__2,0.635772997,1.3512193368,0.2878134368,1.1241333731,-1.0322711043,0.5348083152,0.8093676863,-0.5037556422,0.6743951771000001,0.4469117879,0.3031067853,0.1703363916,-0.1356055373,-0.5799739837,1.0105134046,-1.1029578843
