,serW
Cr_1,-0.007023264630979053
Cr_2,-0.008169465154757862
Cr_3,-0.00795335358091315
Cr_4,-0.004811437928072274
Cr_5,-0.0011861834290624491
Cr_6,-0.001421876988514412
Fe_1,-0.02240882316923248
Fe_2,-0.026421568347899608
Fe_3,-0.038104804514534
Fe_4,-0.04925532908374949
Fe_5,-0.05432067457443187
Fe_6,-0.06081609410518812
Cd_1,0.00204795649799206
Cd_2,0.002394526865194892
Cd_3,0.002606273252135182
Cd_4,0.008109469203019195
Cd_5,0.007716503877723203
Cd_6,0.01028159410103807
Zn_1,-0.04710725891227431
Zn_2,-0.10050901496574176
Zn_3,-0.15538374919678802
Zn_4,-0.2156816430635172
Zn_5,-0.30752369453034284
Zn_6,-0.044415363727820234
Cu_1,0.00018677516127744984
Cu_2,0.0042867272319146495
Cu_3,0.008816357545830744
Cu_4,0.012379610193345998
Cu_5,0.014379576979878069
Cu_6,0.01676158128718589
Pb_1,0.00454437685667617
Pb_2,0.005579400612790281
Pb_3,0.0017809253134289742
Pb_4,0.00837056601054156
Pb_5,0.015813006353158302
Pb_6,0.023244153719453462
