,crcB
Cr_1,0.0032579090774770892
Cr_2,-0.002332179086499736
Cr_3,-0.00851059360135389
Cr_4,-0.00664356201706657
Cr_5,0.0010021210938431092
Cr_6,0.004167349418423746
Fe_1,-0.01651776525782908
Fe_2,-0.03782136656900925
Fe_3,-0.060786036063136775
Fe_4,-0.08953174338261093
Fe_5,-0.1055014012681534
Fe_6,-0.12074736549530833
Cd_1,0.007214901188721869
Cd_2,0.01875174706430587
Cd_3,0.02803804497542743
Cd_4,0.04689868129591336
Cd_5,0.04925218244263586
Cd_6,0.05802060049121813
Zn_1,0.0032648593208964827
Zn_2,-0.0033230342292912053
Zn_3,-0.004796798280045952
Zn_4,0.007430468839061227
Zn_5,0.016195032865959785
Zn_6,0.017945464696609088
Cu_1,0.0006603823876841307
Cu_2,0.003332794455723294
Cu_3,0.001777153128534963
Cu_4,0.012019361173330958
Cu_5,0.01575448779272527
Cu_6,0.012223816291174257
Pb_1,0.008415212128483559
Pb_2,0.007640483491746076
Pb_3,0.013808276968933995
Pb_4,0.02380829439177744
Pb_5,0.03289752452277247
Pb_6,0.0415388165937421
