,glcC
Cr_1,0.004466297151115721
Cr_2,0.008932232850128305
Cr_3,0.010989403272884609
Cr_4,0.015226823744048478
Cr_5,0.020374358272170292
Cr_6,0.023109709174082255
Fe_1,-0.003184835047177039
Fe_2,-0.021382523054921627
Fe_3,-0.041364241207016005
Fe_4,-0.0647980961428343
Fe_5,-0.07379822975488813
Fe_6,-0.08007999792094601
Cd_1,0.008558485298959424
Cd_2,0.006461920492442242
Cd_3,0.012342269281551728
Cd_4,0.010192780886725714
Cd_5,0.00847471583811507
Cd_6,0.005177535684340831
Zn_1,0.0062984490103397935
Zn_2,0.009543789339629094
Zn_3,0.01147015887031385
Zn_4,0.011399959884838622
Zn_5,0.006507445093054925
Zn_6,0.002909228980592088
Cu_1,0.01194063481923393
Cu_2,0.027656995008034462
Cu_3,0.037282597682307496
Cu_4,0.046266758165329235
Cu_5,0.053093808707373215
Cu_6,0.05599183069346866
Pb_1,0.00260564280797492
Pb_2,0.007255121042577292
Pb_3,0.012779353349697752
Pb_4,0.019594466632460256
Pb_5,0.026865361077325758
Pb_6,0.033195693609150784
