,ackA
Cr_1,0.007963278703866214
Cr_2,0.018398601885269924
Cr_3,0.025730332850799675
Cr_4,0.030569294941097662
Cr_5,0.028100801171037318
Cr_6,0.027575990723899338
Fe_1,-0.009786250898946556
Fe_2,-0.02479637026053621
Fe_3,-0.04657788420942053
Fe_4,-0.07427310070935737
Fe_5,-0.09901904883145868
Fe_6,-0.11330557804149168
Cd_1,0.0019121645310242988
Cd_2,0.006449090639776185
Cd_3,0.01022478970621554
Cd_4,0.0122736741910874
Cd_5,0.01110483875345905
Cd_6,0.013807785753711605
Zn_1,-0.00013540410413992294
Zn_2,-0.002267350435261265
Zn_3,-0.0018284929301596343
Zn_4,0.003420475095650634
Zn_5,0.01336647987681572
Zn_6,0.022748263933032524
Cu_1,-0.0006700439122889313
Cu_2,0.00689633936171517
Cu_3,0.01010752339871258
Cu_4,0.014321108795598416
Cu_5,0.018704204038705808
Cu_6,0.023300235376600423
Pb_1,0.009953093488152329
Pb_2,0.007655324399514754
Pb_3,0.006441033557582188
Pb_4,0.016517252265927655
Pb_5,0.026130071307384414
Pb_6,0.0385426982149723
