,yiaG
Cr_1,0.0011931262424153199
Cr_2,0.012363199307991986
Cr_3,0.03056438602429758
Cr_4,0.05278924425579695
Cr_5,0.08377142586219463
Cr_6,0.11972855072316314
Fe_1,-0.0267469270004831
Fe_2,-0.07421881431180788
Fe_3,-0.14448038436882008
Fe_4,-0.2379401044684668
Fe_5,-0.3261039195491948
Fe_6,-0.4084239816437711
Cd_1,0.005186269173986568
Cd_2,0.01835385418280213
Cd_3,0.03076710391268441
Cd_4,0.0383545604502809
Cd_5,0.039606506327029854
Cd_6,0.04807953140886597
Zn_1,-0.03465049455737159
Zn_2,-0.07070506437831314
Zn_3,-0.10993074034884026
Zn_4,-0.12583862501155732
Zn_5,-0.14069060716154894
Zn_6,-0.142333122276245
Cu_1,0.015813608493155926
Cu_2,0.02632385003045521
Cu_3,0.03482363316219888
Cu_4,0.036088487715566775
Cu_5,0.041977456733564976
Cu_6,0.05432689000581707
Pb_1,0.01787322064987607
Pb_2,0.033753877737804035
Pb_3,0.05352128930901981
Pb_4,0.07605046449772483
Pb_5,0.10454136065025836
Pb_6,0.13422353720259464
