,PA0222
SRX7442752,-0.707520581
SRX7442753,0.707520581
SRX7442754,1.387532083
SRX7442755,1.454402309
SRX7442756,1.267722312
SRX7442757,-0.707520581
SRX7442758,0.972304339
SRX7442759,1.566327227
SRX7442761,1.649181044
SRX7874204,-0.13281906100000002
SRX7874205,0.13281906100000002
SRX7874206,-0.8092883780000001
SRX7874207,-0.722107587
SRX8639787,-0.05231124
SRX8639788,0.05231124
SRX8639789,-0.395009359
SRX8639790,0.159248055
SRX8639791,-0.5091453610000001
SRX8639792,-0.226745667
SRX8639793,-4.607770186
SRX8639794,-4.185996148
SRX8639795,-5.120275908
SRX8639796,-4.815834862
SRX8639797,-0.10993041
SRX8639798,0.167057076
SRX8639800,0.301087898
SRX2940624,0.554858155
SRX2940626,-2.784774284
SRX2940627,-0.076689987
SRX2940628,0.409090304
SRX2940629,-0.332400317
ERX2195929,0.085689893
ERX2195930,-0.085689893
ERX2195931,-0.032629784
ERX2195932,-0.19254326600000002
ERX2195933,1.7179607190000001
ERX2195934,1.612774543
SRX4579961,0.048925101000000006
SRX4579962,-0.011087976000000001
SRX4579963,-0.037837125
SRX4579964,-0.990618188
SRX4579965,-1.630885927
SRX4579966,-0.249910229
SRX540108,-0.16099633500000002
SRX540109,0.16099633500000002
SRX540110,-0.227648489
SRX540111,-1.010060062
SRX540112,-0.140558123
SRX540113,0.24070618400000002
SRX540114,0.066020648
SRX540115,0.600990755
SRX1737662,0.206935418
SRX1737664,0.053938102
SRX1737665,-0.394997967
SRX1737667,0.171398556
SRX1737668,-0.37060567600000005
SRX1737670,0.19920712100000001
SRX6976948,0.29999741700000004
SRX6976949,-0.28859539300000003
SRX6976950,-0.011402024
SRX6976951,-0.28956907200000004
SRX6976952,0.39750446500000003
SRX6976953,0.047519511
SRX5630349,-0.320284756
SRX5630350,0.320284756
SRX5630351,-0.194915303
SRX5630352,-0.8387340130000001
SRX4342817,0.604330125
SRX4342818,-0.578576663
SRX4342819,1.319388418
SRX4342820,-0.38350201
SRX4342821,0.35774854700000003
SRX4342822,0.92293473
SRX1411278,-0.082803716
SRX1411287,-0.291381057
SRX1411289,-0.5325931150000001
SRX1411279,0.322658914
