,-0.07960365611581217,-0.0477621936694873,-0.015920731223162427,0.01592073122316244,0.04776219366948732,0.0796036561158122,0.11144511856213705,0.14328658100846192,0.17512804345478683,0.20696950590111168,0.2388109683474366,0.27065243079376144,0.3024938932400863,0.3343353556864112,0.36617681813273606,0.39801828057906097,0.4298597430253858,0.46170120547171073,0.4935426679180355,0.5253841303643604
thresh,-0.06368292489264975,0.06368292489264975,12,,,,,,,,,,,,,,,,,
unreg,1,3,1960,1653,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QseB,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,88,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrp,0,0,141,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS,0,0,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QseB and Lrp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Lrp,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHF and H-NS,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrp and H-NS,0,0,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHF, Lrp, and H-NS",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QseB, IHF, and H-NS",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QseB, IHF, Lrp, and H-NS",0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1,0,0,0
unreg_genes,['thrA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
QseB_genes,[],[],['qseC' 'feaR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IHF_genes,[],[],"['tdcA' 'ndh' 'nuoB' 'atoA' 'yjcH' 'hycF' 'hypE' 'hycH' 'yiaK' 'nuoE'
 'dmsC' 'yiaO' 'hypA' 'sgbE' 'sodA' 'paaD' 'yiaL' 'hycA' 'yjbG' 'sufD'
 'envZ' 'sgbU' 'nuoC' 'sufE' 'atoB' 'nrfF' 'norW' 'paaK' 'hypB' 'ihfA'
 'lyxK' 'hipB' 'sra' 'ssuD' 'narJ' 'ssuA' 'narG' 'nuoG' 'nuoH' 'ulaG'
 'paaI' 'hypD' 'paaG' 'norV' 'hycE' 'actP' 'sufS' 'nuoF' 'yjbF' 'dmsA'
 'atoE' 'hypC' 'atoD' 'nuoJ' 'yiaN' 'yjbH' 'ssuB' 'fis' 'hipA' 'paaC'
 'sufC' 'dcuD' 'pstB' 'paaB' 'ulaF' 'narK' 'narH' 'paaJ' 'rpoH' 'ompR'
 'carA' 'ssuE' 'tdcC' 'glcD' 'dppD' 'ulaD' 'dusB' 'hycG' 'hycC' 'dppC'
 'hycD' 'gltA' 'yadV' 'glcF' 'nrfE' 'paaZ' 'pspA' 'sgbH']","['pflB' 'pstS' 'glnP' 'pstA' 'carB' 'nrfB' 'fhlA' 'narI' 'glcE' 'aceA'
 'nuoK' 'fnr' 'nrfC' 'nuoL' 'amiA' 'ubiC' 'glpQ' 'focA' 'tdcD' 'sufB'
 'nrfG' 'dppF' 'acs' 'rseB' 'folA' 'glpT' 'paaF' 'aceK' 'tdcE' 'hycI'
 'gcd' 'pspE' 'uspB' 'ihfB' 'hemF' 'tdcB' 'phoU' 'pspC' 'ulaA' 'hpt'
 'rtcA' 'paaE' 'yiaM' 'nuoI' 'tdcF' 'rseD' 'rseC' 'sufA' 'paaA' 'rtcB'
 'sodB' 'ulaC' 'dmsB' 'tdcG' 'glcG' 'dppB' 'pspB' 'plaR' 'prmC' 'hemA'
 'sucA' 'nuoM' 'glcB' 'hycB' 'yjbE' 'nrfA' 'nrfD' 'uspA' 'pstC' 'pspD'
 'sucC' 'ssuC' 'nuoN' 'rpoE' 'ulaE' 'cysI' 'prfA' 'osmE' 'paaH' 'sucD'
 'cysJ' 'sucB' 'cysH' 'ulaB' 'ompF']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
