,A,Lrp,hns,QseB,ihfB
R2,,0.047405156387101854,0.02783733221593221,0.025740881336599797,0.006490125116932033
xmin,,-3.3317966780000012,-1.9979766210000007,-3.9855682294999992,-2.3858350260000005
xmid,,-0.12452358110439188,0.6820276032694617,-1.5558218583623369,0.3272725121208351
xmax,,0.9569347599999992,2.380163549999999,2.618850839500001,1.6466498449999991
ystart,,2.548109500270762,3.3969858523445424,4.244429182688614,3.3076194419592597
yend,,7.973515685277042,-2.558938351701469,0.2862058384600976,1.1652228615636826
control__wt_glc__1,0.3376508110125392,-0.011641710000001028,0.11716060999999912,0.07660698949999922,0.08337238499999877
control__wt_glc__2,-0.33765081101254,0.01164170999999925,-0.11716061000000087,-0.07660698949999922,-0.08337238500000055
fur__wt_dpd__1,1.1547736153619828,-0.6940244830000015,-0.21220296000000086,0.271267957500001,0.7158603249999995
fur__wt_dpd__2,0.7989360097676258,-1.072648193000001,-0.15081341000000134,0.1630759485000013,0.8566654449999991
fur__wt_fe__1,4.323370748477914,-0.29271737000000186,-0.56740864,0.44750553750000055,-0.0769950650000002
fur__wt_fe__2,4.133033671497666,-0.3638154000000018,-0.5750199200000008,0.14280749850000074,-0.08671744500000145
fur__delfur_dpd__1,2.1515938772576653,-0.3755461500000017,0.02821881999999931,-0.21889194049999935,0.6898034449999989
fur__delfur_dpd__2,2.5506567576459243,-0.42726524000000055,0.13773748999999924,-0.468316941499999,0.621869414999999
fur__delfur_fe2__1,4.444393914608803,-0.4071929400000016,-0.3889403100000006,0.3682195025000006,0.3658187149999996
fur__delfur_fe2__2,4.451397415403539,-0.3888872200000009,-0.41893693000000104,0.2249971465000007,0.33581042499999825
acid__wt_ph5__1,3.3778278342942656,-0.09708397000000167,-0.14121664000000145,0.6559040315000013,0.2842574349999989
acid__wt_ph5__2,3.5583989810415644,-0.09599975000000073,-0.1173053700000004,0.6930688195000005,0.3016573449999989
acid__delgadx_ph5__2,3.0533061038687457,-0.2525905400000017,0.03221591999999873,0.7503276515000009,0.03620512499999862
