,SP5448_01645
SRX1726505,-0.1680929303
SRX1726506,0.0034373303000000003
SRX1726507,0.16465559999999999
SRX1726508,-1.413853485
SRX1726509,-1.5175652193
SRX1726510,-0.8832965763
SRX1726511,-1.3066465741
SRX1726512,-1.3408084369
SRX1726513,-1.4399042359
SRX1081650,0.2715190477
SRX1081651,-0.11269033240000001
SRX1081652,-0.31872209220000003
SRX1081653,-0.037325620000000004
SRX1081654,-0.0138877145
SRX1081655,-0.24353357750000001
SRX1081656,-0.1127415608
SRX1081657,-0.3773789979
SRX1081658,-0.060906655100000005
SRX1081659,-0.2860240283
SRX1081660,-0.4379916747
SRX1081661,-0.1084947759
SRX1081662,0.13141351810000002
SRX1081663,0.28061781750000003
SRX1081664,0.1526669752
SRX1081665,0.4110176863
SRX1081666,0.7144235493000001
SRX1081668,-0.0695563417
SRX1081669,0.1030211917
SRX1081670,0.0169236323
SRX1081671,0.0976499526
SRX1081672,0.5937409907
SRX1081673,-0.49176870200000006
SRX1081674,-0.133662316
SRX1081675,0.3673835109
SRX1081676,-0.3381580252
SRX1081677,0.1344374446
SRX1081678,0.3381006113
SRX1081679,0.0297518271
SRX1081680,0.2126466908
SRX1081681,0.1487042459
SRX1081682,-0.1078879893
SRX1081683,-0.7957066342
SRX1081684,-0.1206622323
SRX1081685,0.10292464230000001
SRX1081686,-0.34081977880000003
SRX1081687,-0.41069919730000004
SRX1081688,0.4607654075
SRX1081689,-0.3021880406
SRX1081690,-0.2262866549
SRX1081691,0.0447158316
SRX1081692,-0.5763447857
SRX1962715,0.049070743300000004
SRX1962716,0.08110225900000001
SRX1962717,-0.1301730023
SRX1962718,0.0944398982
SRX1962719,0.0085681374
SRX1962720,0.21565657330000002
SRX1962721,0.1288158762
SRX4892146,-0.2596538945
SRX4892147,0.07045791900000001
SRX4892148,-0.0013413877000000001
SRX4892149,0.1905373632
SRX4892150,-0.3402215417
SRX4892151,-0.13543981930000001
SRX4892152,-0.3035895027
SRX4892153,-0.2396359952
SRX4892154,-0.20851644100000002
SRX4892155,-0.5751697914
SRX4892156,-0.1317007596
SRX4892157,-0.3966448972
SRX4892158,0.08663396820000001
SRX4892159,-0.0463315308
SRX4892160,-0.0649496505
SRX4892161,-0.2751264022
SRX7620814,-0.0699731965
SRX7620815,-0.1880860688
SRX7620816,-0.1825900715
SRX7620817,-0.8600652363
SRX7620818,-0.8076463822000001
SRX7620819,-0.9596940572
SRX7620856,-0.2722315919
SRX7620857,-0.8735992951
SRX7620858,-0.0218970851
SRX7620859,-1.2264197231
SRX7620860,-0.20941838440000002
SRX7620861,-1.4312315180000001
SRX7620862,-0.0792757761
SRX7620863,-0.696633319
SRX7620864,0.1359395028
SRX7620865,-0.9569945433
SRX7620866,0.38398561010000004
SRX7620867,-0.9383432784
SRX2161502,0.10769725070000001
SRX2161503,-0.1249794305
SRX2161504,0.017282179800000002
SRX2161505,-0.9826517457
SRX2161506,-1.3075074426
SRX2161507,-1.0967203403
SRX2161508,0.37379995590000004
SRX2161509,0.3491933151
SRX2161510,0.5119707911
SRX2161511,-0.2496057958
SRX2161512,-0.2662944986
SRX2161513,-0.2601882646
SRX2161514,-0.7838963189
SRX2161515,-1.1442499557999999
SRX2161516,-1.2379915822
SRX2161517,-0.9644632932
SRX2161518,-1.3238956432
SRX2161519,-1.3535211196999999
SRX2161520,-0.21238208990000002
SRX2161521,-0.6567268109000001
SRX2161522,-0.291326965
SRX2161523,0.1933233979
SRX2161524,0.0591295365
SRX2161525,-0.36859577460000004
