,A,Fnr,NarL
R2,,0.06560481897715642,0.0020262873232763656
xmin,,-7.8525940196,-3.0560450505
xmid,,-0.3840584199677047,-0.14069452234031998
xmax,,4.4171410107,2.4694155805999998
ystart,,-0.30062165058681883,0.24584131555307775
yend,,6.055733256509467,-0.5480055739296964
SRX1125282,-0.120603415,-0.0825740115,0.0834143878
SRX1125283,-0.6245784224,0.16485310350000001,0.0504933555
SRX1125284,-1.6701577098,0.7752711503,0.031696480900000004
SRX1125285,-3.1851152573,0.9066270852,-0.0029696078000000002
SRX1125286,-2.0068166803,0.95171602,-0.3118176763
SRX1125287,-0.9110292215,1.0192587317,-1.1250431231
SRX1125288,0.1838863782,0.1234264677,0.0253800388
SRX1125289,-0.5875537887,0.4334180231,-0.0159687598
SRX1125290,-2.2797323865,0.7979562918,0.11729304230000001
SRX1125291,-3.0748951195,0.8964971719,-0.0645860458
SRX1125292,-1.4994978155,0.9047534472000001,-0.4360385312
SRX1125293,-0.1803582555,0.9185125141,-0.7155510694
SRX1125294,-0.0632829632,-0.040852456200000005,-0.10879442660000001
SRX1125295,-0.984976889,0.2208704434,0.004012204
SRX1125296,-1.6062311314,0.7920547098,0.1317350897
SRX1125297,-3.7136072949,0.8818752216,0.0470774695
SRX1125298,-2.7281033224,0.9825066807,-0.5255995358000001
SRX1125299,-0.7180952575,0.9444446514,-0.9168248342
SRX5694250,3.1584004435,0.0403637158,1.9154446272
SRX5694251,6.0261693989,0.5459244040000001,-0.7280519322
SRX5694252,-0.7391729174,-0.6791990309,1.1947183288
SRX5694253,-0.2324724322,0.0078028844000000005,0.1780909309
SRX5694254,-0.6030890652,-1.3129271236,1.2955909793
SRX5694255,2.0629280334,0.20689053170000002,-1.6319055235
SRX5694256,3.8108704097,-0.045048951000000004,0.4734941154
SRX5694257,2.1674547407,0.4656249649,-0.1664938681
SRX5694258,0.6236838701,-0.3784852643,0.5350788069
SRX5694259,3.1905857985,0.3019332691,-1.1516025581
SRX5694260,-1.6471782293000001,0.0320312785,0.2589008747
SRX5694261,4.7578185821000005,-2.6112045671,0.6985329095
SRX5694262,1.7173675704,0.2482154852,1.5091314717
SRX5694263,1.6714010476,0.0230880885,0.0599282165
SRX5694264,-0.062407698600000006,0.3075812793,-0.3923176547
SRX5694265,-0.053428901,-0.7038356709,-0.4271510985
SRX5694267,0.5342575555,-0.2244639849,0.2821523801
SRX5694268,2.9753218708,0.32801548280000004,0.07094828710000001
SRX5694269,-0.1608335045,-0.0363903054,0.19399510790000002
SRX5694271,-0.0116905923,0.1539794799,0.0642121101
SRX5694273,2.280272177,-0.315089026,-0.07041621590000001
SRX5694274,-0.3223419932,-0.19593564700000002,0.2387249998
SRX5694275,-1.0782353683,0.1826918599,0.4765491027
SRX5694276,0.4524643399,0.6125076868,-0.9480551533
SRX5694277,-0.4497740114,0.518483773,0.3874315129
SRX5694278,0.4178818038,0.6077452839,-0.30677911280000003
SRX5694279,1.9474264386,0.7489705412000001,0.45546757130000004
SRX5694280,4.5482480692,-1.2905505804000001,0.8811496315
SRX5694281,0.9331958899,0.4743514224,0.5259159415
SRX5694282,5.9211792262,0.8302627999000001,-1.1704676525
SRX5694283,3.6985374882,-0.8002749045,-0.1456506972
SRX5694284,-0.0073874477,-1.6551107114999999,-0.0240085228
SRX5694285,-1.3322840464,0.21844817860000001,0.5443759374
SRX5694286,-1.2089074832,0.0879280571,0.9783104235000001
SRX5694287,5.6582066815,0.8900785727,0.7166860521
SRX5694288,-1.0632721785,-0.0313845657,-0.0818044565
SRX5694289,-0.1896378572,-0.4150383489,0.2538442496
SRX5694290,0.3880391258,0.2272209504,-0.32002223220000003
SRX5694291,3.4207416517,0.16806743940000002,-1.4231800896
SRX5694292,0.8916514697000001,0.40832126950000003,0.371962511
SRX5694293,0.0737410483,0.0877333852,0.040928029000000005
SRX5694294,0.9265531618,-0.1654402185,0.3072546497
SRX5694295,3.2196748048,-0.12067474560000001,0.3371132867
SRX5694296,0.5296591428,0.1613415464,0.3899857407
SRX5694297,5.0009608947,0.257224454,-1.9056921008
SRX5694298,-1.3798539585,0.047755995,1.3605355026
SRX5694299,0.4907497517,-0.1308553567,-0.1621879518
SRX5694300,0.2131176856,-0.3609283863,-0.4011629601
SRX5694301,0.7684127342,0.20815252,0.6602530221
SRX5694302,0.6006670174000001,0.0028938907,-0.3741219792
SRX5694303,0.4512247131,0.11078089020000001,-0.3082369024
SRX5694304,0.9638178444000001,-0.2836689398,-0.3006640419
SRX5694305,4.8314632709000005,0.0804674744,-1.1971011775
SRX5694306,2.2372294728,-0.2221077391,1.5801977473000002
SRX5694307,4.5522383701999996,0.6605546913,-0.884127384
SRX5694308,-0.13569458210000002,0.030807355300000002,-0.452432223
SRX5694309,2.5215342238,0.1635488437,-1.3563246039
SRX5694310,2.7940479148,-0.4774994905,-0.6817547788
SRX5694311,2.724861989,0.0987552064,-1.3195528967999999
SRX5694312,2.6605387872,0.2741965069,1.3047365667
SRX5694313,2.6143876417,0.12295077100000001,0.0825550003
SRX5694315,0.9338303739,-0.3737381984,-0.2047876144
SRX5694317,3.583351767,1.3424886167,0.6570030657
SRX5694319,-0.1311259897,0.09932130680000001,-0.0042746708
SRX5694320,0.915509647,0.0559133562,-1.6268601596
SRX5694321,6.4919217818,-0.2242105774,-0.2149626757
SRX5694322,9.8346038619,0.41129122560000003,-0.0023401669
SRX5694323,8.0806173289,-0.2049744387,-0.1358000564
SRX5694324,2.8094999933,0.1866328231,-1.2077453185
SRX5694325,2.5264247202,-0.8589924069,-0.4745572525
