,katE
Cr_1,-0.015518634121106831
Cr_2,-0.016361119401539906
Cr_3,-0.017327153550323975
Cr_4,-0.009655614079432929
Cr_5,-0.00639207522377567
Cr_6,-0.0023136402561697287
Fe_1,-0.027492958288284203
Fe_2,-0.06879882302061298
Fe_3,-0.12265126926795945
Fe_4,-0.18225885342140213
Fe_5,-0.23757316276585544
Fe_6,-0.29265987554741113
Cd_1,0.0041178528947856926
Cd_2,0.00742417374981059
Cd_3,0.01077995125630822
Cd_4,0.008000001186085234
Cd_5,0.005318280554909892
Cd_6,0.00833987185217162
Zn_1,-0.05039974754840919
Zn_2,-0.026858721770652898
Zn_3,0.0777730152696112
Zn_4,0.24299225122149926
Zn_5,1.2544594686435706
Zn_6,1.0489474194233257
Cu_1,-0.006638755752973776
Cu_2,-0.0073641845968926735
Cu_3,-0.00932666308619458
Cu_4,-0.01232481978344075
Cu_5,-0.012561197431979016
Cu_6,-0.0076582894359224435
Pb_1,0.00743693415027513
Pb_2,0.013648060751897492
Pb_3,0.023556623017571103
Pb_4,0.03661867149724316
Pb_5,0.038655587052142656
Pb_6,0.04753565214380622
