,yqeK
Cr_1,-0.0025575464730771
Cr_2,-0.0010365038477370898
Cr_3,0.002587669535992473
Cr_4,0.005769968350953444
Cr_5,0.010541667622719195
Cr_6,0.013480684616707652
Fe_1,-0.013268170197811131
Fe_2,-0.05558581740348678
Fe_3,-0.11656647848357513
Fe_4,-0.18243002700073702
Fe_5,-0.2397224662955537
Fe_6,-0.2787916087897224
Cd_1,-0.007729137777716284
Cd_2,-0.015977752233204613
Cd_3,-0.02663588213734821
Cd_4,-0.03706782477228643
Cd_5,-0.05179515674921638
Cd_6,-0.058904125440781815
Zn_1,-0.011900744925177271
Zn_2,-0.02592428513724345
Zn_3,-0.032575262290279065
Zn_4,-0.03440412570927828
Zn_5,-0.032921527095020324
Zn_6,-0.03269327881019056
Cu_1,-0.0026937639583103
Cu_2,-0.0014070232440848483
Cu_3,0.003779687493468872
Cu_4,0.009100994345648606
Cu_5,0.013031500725190734
Cu_6,0.018282895411917452
Pb_1,0.010584637254056574
Pb_2,0.023718663840781702
Pb_3,0.043181226296401386
Pb_4,0.06308678279162303
Pb_5,0.08427461038814671
Pb_6,0.10613152616744614
