,yedQ
Cr_1,0.004149513493872314
Cr_2,0.009578572149822526
Cr_3,0.015713900764627375
Cr_4,0.021717924513478908
Cr_5,0.02697180926225277
Cr_6,0.030392822153717438
Fe_1,-0.005468163141827256
Fe_2,-0.022937928704074708
Fe_3,-0.041074676004467736
Fe_4,-0.06557669209480167
Fe_5,-0.08956495275328631
Fe_6,-0.10299547218023904
Cd_1,0.005488578118360254
Cd_2,0.009722535578519216
Cd_3,0.015437686757109619
Cd_4,0.021469989625545426
Cd_5,0.02407002066907369
Cd_6,0.032084761560199605
Zn_1,0.0017124827400317605
Zn_2,-0.007119447556600231
Zn_3,-0.014383792205976057
Zn_4,-0.00946997005984547
Zn_5,-0.006864376960052368
Zn_6,-0.0007215424864872461
Cu_1,-0.0020306383397308133
Cu_2,0.0030022801288280467
Cu_3,0.00718745322689106
Cu_4,0.011942941747969185
Cu_5,0.021300672290175314
Cu_6,0.032105336476104036
Pb_1,0.005725963429045068
Pb_2,0.013335756489150858
Pb_3,0.02561931898836538
Pb_4,0.04029725343553516
Pb_5,0.057216875081275334
Pb_6,0.07334502533013758
